,project,total_claims,total_usd_value
0,tornado_cash,149336,4.053355035513693e+09
1,ampleforth,217491,1.8344168683495939e+09
2,apecoin,16534,1.7279063149602568e+09
3,arbitrum,583137,1.394397547382968e+09
4,dydx,88309,1.2979890676326597e+09
5,x2y2,349434,9.754723549736614e+08
6,ethereum_name_service,102821,8.383949313986049e+08
7,uniswap,220895,6.685256582326282e+08
8,looksrare,124665,3.6688744424180734e+08
9,blur,124631,2.6517436059660414e+08
10,oneinch,43733,2.1864040401781145e+08
11,cow_protocol,1714,1.731330563479569e+08
12,paraswap,15013,1.4783128907126287e+08
13,ellipsis_finance,95473,1.1009443127539057e+08
14,gitcoin,16169,8.295186024878897e+07
15,ribbon,1331,8.097922569711433e+07
16,botto,10295,3.588217923939052e+07
17,safe,25909,2.794129968747833e+07
18,pooltogether,10384,1.6344147663329307e+07
19,arkham,64692,9.72583831570126e+06
20,galxe,14927,9.112050594300013e+06
21,shapeshift,37116,8.0752467974688625e+06
22,hop_protocol,29268,7.148327381403746e+06
23,tokenfy,32130,4.94653630163186e+06
24,gearbox,3565,4.828464145275052e+06
25,gas_dao,79726,4.435934019415815e+06
26,benddao,17898,3.4848310900951102e+06
27,dappradar,49365,2.982946861921798e+06
28,sudoswap,870,2.15590739290119e+06
29,velodrome,13938,2.1225430526941367e+06
30,forefront,1306,1.245958199999999e+06
31,forta_network,3564,1.1145375039999785e+06
32,alchemydao,13022,748915.6194593476
33,thales,4413,690058.500139634
34,snowswap,691,207420.42395693276
35,component,714,105972.11192112435
36,paladin,993,59745.95073693152
37,notional_finance,670,8.421759059299975e-05
38,genie,8718,2.70351569920001e-06
39,optimism,160603,<nil>
40,giveth,1539,<nil>
41,value_defi,1931,<nil>
42,pangolin,4025,<nil>
