,date,fee
0,2023-11-24 01:00:00,0
1,2023-11-25 01:00:00,0
2,2023-11-26 01:00:00,0
3,2023-11-27 01:00:00,0
4,2023-11-28 01:00:00,103
5,2023-11-29 01:00:00,3
6,2023-11-30 01:00:00,1
7,2023-12-01 01:00:00,0
8,2023-12-02 01:00:00,221
9,2023-12-03 01:00:00,0
10,2023-12-04 01:00:00,0
11,2023-12-05 01:00:00,6
12,2023-12-06 01:00:00,103
13,2023-12-07 01:00:00,534
14,2023-12-08 01:00:00,168
15,2023-12-09 01:00:00,1660
16,2023-12-10 01:00:00,0
17,2023-12-11 01:00:00,585
18,2023-12-12 01:00:00,1346
19,2023-12-13 01:00:00,477
20,2023-12-14 01:00:00,1633
21,2023-12-15 01:00:00,5971
22,2023-12-16 01:00:00,8509
23,2023-12-17 01:00:00,0
24,2023-12-18 01:00:00,3217
25,2023-12-19 01:00:00,7980
26,2023-12-20 01:00:00,4828
27,2023-12-21 01:00:00,6509
28,2023-12-22 01:00:00,5284
29,2023-12-23 01:00:00,5637
30,2023-12-24 01:00:00,2157
31,2023-12-25 01:00:00,1005
32,2023-12-26 01:00:00,4989
33,2023-12-27 01:00:00,505
34,2023-12-28 01:00:00,7352
35,2023-12-29 01:00:00,1934
36,2023-12-30 01:00:00,5829
37,2023-12-31 01:00:00,5763
38,2024-01-01 01:00:00,1384
39,2024-01-02 01:00:00,5433
40,2024-01-03 01:00:00,9816
41,2024-01-04 01:00:00,2909
42,2024-01-05 01:00:00,1948
43,2024-01-06 01:00:00,180
44,2024-01-07 01:00:00,1829
45,2024-01-08 01:00:00,1985
46,2024-01-09 01:00:00,2586
47,2024-01-10 01:00:00,4156
48,2024-01-11 01:00:00,323
49,2024-01-12 01:00:00,0
50,2024-01-13 01:00:00,874
51,2024-01-14 01:00:00,186
52,2024-01-15 01:00:00,75
53,2024-01-16 01:00:00,400581
54,2024-01-17 01:00:00,683837
55,2024-01-18 01:00:00,1506
56,2024-01-19 01:00:00,302970
57,2024-01-20 01:00:00,5330
58,2024-01-21 01:00:00,0
59,2024-01-22 01:00:00,86
60,2024-01-23 01:00:00,0
61,2024-01-24 01:00:00,334
62,2024-01-25 01:00:00,116
63,2024-01-26 01:00:00,302028
64,2024-01-27 01:00:00,3
65,2024-01-28 01:00:00,0
66,2024-01-29 01:00:00,0
67,2024-01-30 01:00:00,1566
68,2024-01-31 01:00:00,2199
69,2024-02-01 01:00:00,6352
70,2024-02-02 01:00:00,5697
71,2024-02-03 01:00:00,34
72,2024-02-04 01:00:00,2827
73,2024-02-05 01:00:00,1013
74,2024-02-06 01:00:00,8541
75,2024-02-07 01:00:00,14769
76,2024-02-08 01:00:00,0
77,2024-02-09 01:00:00,20270
78,2024-02-10 01:00:00,9993
79,2024-02-11 01:00:00,0
80,2024-02-12 01:00:00,336
81,2024-02-13 01:00:00,15084
82,2024-02-14 01:00:00,0
83,2024-02-15 01:00:00,710
84,2024-02-16 01:00:00,7476
85,2024-02-17 01:00:00,4308
86,2024-02-18 01:00:00,4281
87,2024-02-19 01:00:00,37054
88,2024-02-20 01:00:00,1585625
89,2024-02-21 01:00:00,30290
90,2024-02-22 01:00:00,48924
91,2024-02-23 01:00:00,6893
92,2024-02-24 01:00:00,7200
93,2024-02-25 01:00:00,10000
94,2024-02-26 01:00:00,45905
95,2024-02-27 01:00:00,8022906
96,2024-02-28 01:00:00,21492
97,2024-02-29 01:00:00,1412063
98,2024-03-01 01:00:00,35478
99,2024-03-02 01:00:00,51058
100,2024-03-03 01:00:00,41520
101,2024-03-04 01:00:00,67704
102,2024-03-05 01:00:00,33218
103,2024-03-06 01:00:00,11521
104,2024-03-07 01:00:00,4319804
105,2024-03-08 01:00:00,8220
106,2024-03-09 01:00:00,8017
107,2024-03-10 01:00:00,16230
108,2024-03-11 01:00:00,34123
109,2024-03-12 01:00:00,55255
110,2024-03-13 01:00:00,46026
111,2024-03-14 01:00:00,15102069
112,2024-03-15 01:00:00,23500
113,2024-03-16 01:00:00,16047
114,2024-03-17 01:00:00,13978
115,2024-03-18 01:00:00,35033
116,2024-03-19 01:00:00,30250
117,2024-03-20 01:00:00,19253
118,2024-03-21 01:00:00,3732051
119,2024-03-22 01:00:00,45343
120,2024-03-23 01:00:00,16000
121,2024-03-24 01:00:00,19000
