Project,date,seven_day_price,thirty_day_price,hundred_day_price
tornado-cash,2021-02-08 20:35:12,-6.729225462556731,-57.78561024875481,-84.38561242516161
arbitrum,2023-03-23 14:01:26,-5.096242778737017,0.7059668346911967,-20.823904109045863
dydx,2023-10-31 09:13:09,,29.295367484785565,17.94109165183995
x2y2,2022-02-15 06:37:43,-54.95080552842687,-90.85943733879881,-91.2495153462601
uniswap,2020-09-17 04:05:06,52.01170161396354,-8.4820373442683,3.426661895109677
blur,2023-02-14 18:12:35,5.721911097643882,-32.65920330762393,-41.61214754238246
1inch-network,2020-12-25 02:20:17,-48.164025277289305,14.08481813467501,52.003509623358376
ether.fi,2024-03-18 12:09:29,32.21709380071862,7.583337922301756,-1.5431889791924582
ellipsis-finance,2021-03-24 05:00:07,56.7662768653411,-17.41261459026588,-82.36582415947248
ribbon-lend,2021-10-07 15:04:02,-15.963244172429178,-50.95705882877994,-17.289163527549064
pooltogether,2021-02-17 20:00:11,32.600142072442296,20.497502430980294,-11.066540770568423
gearbox,2022-12-19 04:26:33,-36.49915802004884,-46.9400614711917,-39.74297622670367
benddao,2022-04-04 23:31:06,-20.49604761713687,,-54.25535189586292
sudoswap,2023-02-19 04:32:50,-33.23262839879155,-61.93432325889205,-81.18314936726871
velodrome,2022-06-03 01:49:54,-67.47237729487952,-87.0249864865085,-43.47746652502641
thales,2021-09-16 06:04:58,-2.9191564228697997,-29.634124155686173,-32.91123862631696
snowswap,2020-10-09 13:05:00,-67.56227229285042,-90.06888286257109,-62.93258632195097
paladin-finance,,,,
pangolin,2021-02-19 16:00:52,-53.1851681123698,-76.07997382857278,-89.3737673975711
optimism,2022-06-01 01:24:35,-33.78217015386074,-57.03700969990643,12.507270897699534
valuedefi,2020-09-19 08:05:28,-33.849423208143506,,
hop-protocol,2022-06-10 02:30:48,-5.374471382771317,-19.22872476269034,6.667610777212991
