Project,seven_day_tvl,thirty_day_tvl,hundred_day_tvl
tornado-cash,29.095161869278495,297.7005968057396,885.3236340617107
arbitrum,5.534319531382748,1.6600523042143323,2.6162553107171638
dydx,28.64198128883033,126.4732581106883,134.62508657681235
x2y2,802.4542238444049,20936.647135960273,39973.91781021331
uniswap,116.0634974238544,227.56547857878684,42.10208811056155
blur,247.26030280387863,224.84424888505666,269.38959887643364
1inch-network,37.91757596464678,-2.6540226685824453,-87.28353670805069
ether.fi,-4.881252343137588,8.19350670329333,113.59642155979203
ellipsis-finance,154.6823260131053,353.2419624104932,
ribbon-lend,-61.39061122860539,318.4292464513071,266.3364573586666
pooltogether,30.80227941529099,75.27212949307702,46.95302732310742
gearbox,-5.319173641550979,37.09363503309688,31.73349677601216
benddao,25.725067618666042,-53.90009212650122,-33.790418805835756
sudoswap,-0.4538239079505457,-27.18488057501325,15.07881074823576
velodrome,26.978860263470295,-47.2869249604227,126.31133262117866
thales,0.9612811536813259,18.674561644026344,-42.443147620264824
snowswap,-48.76844788377589,-75.2333015850371,-63.81568209577107
paladin-finance,-3.7776688165530037,-44.53690494546989,-38.916521153514616
pangolin,623.9055806634751,2431.7717708395294,
optimism,28.90041101126204,0.10247317729450423,210.13960638506367
valuedefi,10.515320856323584,127.10394637218911,4135.855820458693
hop-protocol,-30.03790881416373,-32.17850778169119,-49.83942765839733
