Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x9a0c8ff858d273f57072d714bca7411d717501d7","1inch: Governance Staking","204,820,541.386310668160344696","13.6547%","$80,114,530.66"
"2","0xf977814e90da44bfa03b6295a0616a897441acec","Binance 8","110,000,000.461232493486566065","7.3333%","$43,025,950.18"
"3","0x6630444cdbd42a024da079615f3bbce8edd5a7ba","","98,389,855.467136195068746705","6.5593%","$38,484,700.02"
"4","0x23360d94c13c1508bda63beb5a404b9e2e3f62b5","","96,500,000","6.4333%","$37,745,492.50"
"5","0x5e89f8d81c74e311458277ea1be3d3247c7cd7d1","1inch Foundation: Multisig","79,231,375.257352629177960797","5.2821%","$30,990,956.28"
"6","0x4942b20750163675ddf004476ffe46626652dfd0","","75,000,001.51042512398592528","5.0000%","$29,335,875.59"
"7","0x06a77eb094ef4e0ca19729770b6b115b57e188f8","","48,756,884.320374471853977385","3.2505%","$19,071,011.52"
"8","0x720d8790666bd40b9ca289cbe73cb1334f0ae7e3","","41,828,572.249195859479971107","2.7886%","$16,361,036.89"
"9","0xd9b311d6678edb14ada24829cd9ae09fcc0f0704","","37,500,000","2.5000%","$14,667,937.50"
"10","0xf89d7b9c864f589bbf53a82105107622b35eaa40","Bybit: Hot Wallet","29,287,941.941370558319937957","1.9525%","$11,455,832.05"
"11","0x6cc5f688a315f3dc28a7781717a9a798a59fda7b","OKX","20,473,693.452724607415667887","1.3649%","$8,008,182.83"
"12","0x07eb0d3f42024b5608a9048c5b51b2903e1320b4","","18,750,000","1.2500%","$7,333,968.75"
"13","0x1c30bc98984af21b4b8ea6cc1109e2fac3987905","","18,750,000","1.2500%","$7,333,968.75"
"14","0x1c29477a03b891d65410834da0ed787f9fbf9468","","17,605,312","1.1737%","$6,886,229.76"
"15","0x9b9aa2985b37cbbd5858dc3fe07f45fce6b477fb","","15,438,032.42238","1.0292%","$6,038,509.19"
"16","0x50980ee96cd26b68bcd327999695fe4c7d88e958","","14,999,999","1.0000%","$5,867,174.61"
"17","0x5f30daa9a3e2c4df7ffc2fb3e0cbca2ea9d814d2","","14,999,999","1.0000%","$5,867,174.61"
"18","0x76b8b5ff6e94fcbe3c44984d4e1bdce795665312","","14,999,999","1.0000%","$5,867,174.61"
"19","0x28c6c06298d514db089934071355e5743bf21d60","Binance 14","13,645,492.445321710688881966","0.9097%","$5,337,366.14"
"20","0x0091da8752261664c910b4b34c95e5cf9c719927","","13,414,826.332432885238502989","0.8943%","$5,247,142.25"
"21","0x225d3822de44e58ee935440e0c0b829c4232086e","1inch: Team Investment Fund Collection","12,245,509.72379839451505062","0.8164%","$4,789,769.90"
"22","0x64e170452d420494e5e4ab575f0102d4a1c86905","","11,501,711.26046331045789535","0.7668%","$4,498,836.85"
"23","0xbe0eb53f46cd790cd13851d5eff43d12404d33e8","Binance 7","10,000,000","0.6667%","$3,911,450.00"
"24","0x9b0c45d46d386cedd98873168c36efd0dcba8d46","Revolut 3","8,183,532.7208866","0.5456%","$3,200,947.91"
"25","0x92c8029165c2aca6928550a5fecd17c90b448fa9","","8,149,990","0.5433%","$3,187,827.84"
"26","0x8dad53cbd205fc71982739905fdcb565b0ebdba3","","7,918,210.49","0.5279%","$3,097,168.44"
"27","0x4c465efe1312293c23f2b420cf73d152725e8e62","","7,704,126.9846474407055025","0.5136%","$3,013,430.75"
"28","0x3744da57184575064838bbc87a0fc791f5e39ea2","","7,500,000","0.5000%","$2,933,587.50"
"29","0x6124f502ecf420df5a0dabeadca2fee52e70a9a1","","7,116,725.625","0.4744%","$2,783,671.64"
"30","0xc6573555ae772a402b0099a66a85e16062f1ddf0","","6,450,125.7455884177909401","0.4300%","$2,522,934.43"
"31","0xe75825f23ff834e8f66c5bb99f44d97d11a87e45","","6,428,571","0.4286%","$2,514,503.40"
"32","0x7c628430e0702847cf4ec7211c80314e46db4c87","","6,412,457.792274582377493483","0.4275%","$2,508,200.80"
"33","0xe295ad71242373c37c5fda7b57f26f9ea1088afe","1inch: Airdrop","6,392,642.186230007032290303","0.4262%","$2,500,450.03"
"34","0x2ad0ee055835cd604462852b93652ce26aa51f06","","6,214,285","0.4143%","$2,430,686.51"
"35","0xa0446d8804611944f1b527ecd37d7dcbe442caba","1inch: st1INCH v1 Token","6,054,994.486646646007967951","0.4037%","$2,368,380.82"
"36","0xe931b03260b2854e77e8da8378a1bc017b13cb97","Uniswap V3: 1INCH 2","5,321,430.039994784030231679","0.3548%","$2,081,450.75"
"37","0x3eea61ed7320469053cfdeaa37e4642c2eccff19","","5,000,000","0.3333%","$1,955,725.00"
"38","0x7a80107720f344d73a2192ff59f1e9e0c5226f44","","4,957,145","0.3305%","$1,938,962.48"
"39","0x8142d900aab5b5363a6d60e0cfa54110cde8fdd5","","4,779,496.613196730751124145","0.3186%","$1,869,476.20"
"40","0xf848e69ea6e206e6e8f2fbfc46ddd27c73907979","","4,726,742.278399698716143499","0.3151%","$1,848,841.61"
"41","0x177f865fb68593d654e29c8bbbc4d3271b3720ef","","4,285,716","0.2857%","$1,676,336.38"
"42","0xc5ea79ce9db7bb9a1d55db273b10d1911b9c9f8d","","4,285,714","0.2857%","$1,676,335.60"
"43","0xd6216fc19db775df9774a6e33526131da7d19a2c","KuCoin 6","4,033,195.432505684366134507","0.2689%","$1,577,564.23"
"44","0x66cd70d9ef25993ba22dcb073b40bcac64734aa8","","3,754,724.453080595137501044","0.2503%","$1,468,641.70"
"45","0xac665a44d46194eb9826d6f93fb5cc93bc2654b4","Fee Recipient: 0xAC6...4b4","3,750,000","0.2500%","$1,466,793.75"
"46","0x4ee7c0f5480eb1edd8902a5e8b991ed52992d5f5","","3,715,190.588894421490913787","0.2477%","$1,453,178.22"
"47","0xd954a7049cd136789fdb19304bcd9a2d6998f7c5","","3,595,908.064917345399395032","0.2397%","$1,406,521.46"
"48","0x3f08f17973ab4124c73200135e2b675ab2d263d9","","3,401,584.6218408","0.2268%","$1,330,512.82"
"49","0x436f6186cd323abd8433bf1311389e561356b3b5","","3,353,014.0371","0.2235%","$1,311,514.68"
"50","0x937974fdfcfd74e00943d192c4bea7d1b42193df","","3,333,333.33","0.2222%","$1,303,816.67"
