Rank,Address,Address_Nametag,Quantity,Percentage,Value
"1","0x1a9c8182c09f50c8318d769245bea52c32be35bc","Uniswap V2: UNI Timelock","383,266,633.530740740750740737","38.3267%","$3,618,037,020.53"
"2","0x47173b170c64d16393a52e6c480b3ad8c302ba1e","","23,047,480.513198522","2.3047%","$217,568,216.04"
"3","0x3d30b1ab88d487b0f3061f40de76845bec3f1e94","Uniswap Protocol: Treasury Vester 4","16,776,071.759259259259259262","1.6776%","$158,366,117.41"
"4","0xf977814e90da44bfa03b6295a0616a897441acec","Binance 8","15,013,797.155","1.5014%","$141,730,245.14"
"5","0x7d2d43e63666f45b40316b44212325625dbaeb40","","13,254,686.8186544","1.3255%","$125,124,243.57"
"6","0x090d4613473dee047c3f2706764f49e0821d256e","Uniswap: Token Distributor","13,021,779.052190843","1.3022%","$122,925,594.25"
"7","0x0ec9e8aa56e0425b60dee347c8efbad959579d0f","","12,611,331.35566091","1.2611%","$119,050,968.00"
"8","0x5a52e96bacdabb82fd05763e25335261b270efcb","Binance 28","10,800,000","1.0800%","$101,952,000.00"
"9","0x878f0822a9e77c1dd7883e543747147be8d63c3b","","10,763,375.91399608","1.0763%","$101,606,268.63"
"10","0x6cc5f688a315f3dc28a7781717a9a798a59fda7b","OKX","9,573,693.707364767678149589","0.9574%","$90,375,668.60"
"11","0xa4c9492d5f1578911756a4f8463b45482deae37a","","9,259,924.874401289","0.9260%","$87,413,690.81"
"12","0x030d6830dc8ff125850390da620fa3e12decd437","","9,000,000","0.9000%","$84,960,000.00"
"13","0x177df24addc9a216f927d2a894ab0b6eec59eb09","","9,000,000","0.9000%","$84,960,000.00"
"14","0x3cc3bf9b66f424a1632fac87b941cda71ad491b6","","9,000,000","0.9000%","$84,960,000.00"
"15","0x63b53181bdc48a9fbf1d23d461d3cfd82b0abc83","","9,000,000","0.9000%","$84,960,000.00"
"16","0x69c5888ecd21287fbdac5a43d1558bf73c51e38b","","9,000,000","0.9000%","$84,960,000.00"
"17","0x973c877d5636e5cc6e15533ec440d52f299cdf9b","","9,000,000","0.9000%","$84,960,000.00"
"18","0xa29b574fea8d85b6c2a1b7071e6160212cf94097","","9,000,000","0.9000%","$84,960,000.00"
"19","0xa371d95184127bf81d1e7281733eb94041e7eb8e","","9,000,000","0.9000%","$84,960,000.00"
"20","0xa7e2067268901e118bbe0c132c17959c9ab929b6","","9,000,000","0.9000%","$84,960,000.00"
"21","0xf731a187cb77d278b817939ce874741b074e3de8","","9,000,000","0.9000%","$84,960,000.00"
"22","0x7d325a9c8f10758188641fe91cfd902499edc782","Fund: 0x7d3...782","8,000,000.1215387","0.8000%","$75,520,001.15"
"23","0x1c1f02f1640e52b313f2d504b3c0c7ee8ad61108","","8,000,000","0.8000%","$75,520,000.00"
"24","0x5f246d7d19aa612d6718d27c1da1ee66859586b0","","7,300,000","0.7300%","$68,912,000.00"
