,date,totalLiquidityUSD
0,2021-02-04 00:00:00,1536042975.54
1,2021-02-05 00:00:00,1692755797.13
2,2021-02-06 00:00:00,1927751446.23
3,2021-02-07 00:00:00,1781654015.76
4,2021-02-08 00:00:00,1961898443.3
5,2021-02-09 00:00:00,2135412548.02
6,2021-02-10 00:00:00,2177766824.52
7,2021-02-11 00:00:00,2118473237.64
8,2021-02-12 00:00:00,2275615859.4
9,2021-02-13 00:00:00,2231873020.74
10,2021-02-14 00:00:00,2320007704.83
11,2021-02-15 00:00:00,2205434891.73
12,2021-02-16 00:00:00,2145122848.15
13,2021-02-17 00:00:00,2028386958.08
14,2021-02-18 00:00:00,1949921468.87
15,2021-02-19 00:00:00,1774095261.0
16,2021-02-20 00:00:00,1773120534.52
17,2021-02-21 00:00:00,1800966862.33
18,2021-02-22 00:00:00,1827403836.32
19,2021-02-23 00:00:00,1689701322.35
20,2021-02-24 00:00:00,1422743447.67
21,2021-02-25 00:00:00,1477623797.2
22,2021-02-26 00:00:00,1392782827.0
23,2021-02-27 00:00:00,1482394785.71
24,2021-02-28 00:00:00,1532347366.57
25,2021-03-01 00:00:00,1501366120.42
26,2021-03-02 00:00:00,1641228481.03
27,2021-03-03 00:00:00,1538982521.95
28,2021-03-04 00:00:00,1559138702.1
29,2021-03-05 00:00:00,1495276046.77
30,2021-03-06 00:00:00,1495276046.77
31,2021-03-07 00:00:00,1456940693.48
32,2021-03-08 00:00:00,541977467.73
33,2021-03-09 00:00:00,414413398.3
34,2021-03-10 00:00:00,288288641.08
35,2021-03-11 00:00:00,278187763.01
36,2021-03-12 00:00:00,116428503.66
37,2021-03-13 00:00:00,108115036.42
38,2021-03-14 00:00:00,113584625.38
39,2021-03-15 00:00:00,98986227.9
40,2021-03-16 00:00:00,101888850.4
41,2021-03-17 00:00:00,102119682.17
42,2021-03-18 00:00:00,121110369.95
43,2021-03-19 00:00:00,203149306.31
44,2021-03-20 00:00:00,212286055.23
45,2021-03-21 00:00:00,228827605.39
46,2021-03-22 00:00:00,229073574.23
47,2021-03-23 00:00:00,223500280.66
48,2021-03-24 00:00:00,219995006.36
49,2021-03-25 00:00:00,201770831.41
50,2021-03-26 00:00:00,199514690.71
51,2021-03-27 00:00:00,216222639.38
52,2021-03-28 00:00:00,227783810.53
53,2021-03-29 00:00:00,229735784.19
54,2021-03-30 00:00:00,245727237.29
55,2021-03-31 00:00:00,227102171.11
56,2021-04-01 00:00:00,223902034.8
57,2021-04-02 00:00:00,238484436.36
58,2021-04-03 00:00:00,246803003.42
59,2021-04-04 00:00:00,235254509.34
60,2021-04-05 00:00:00,243382776.19
61,2021-04-06 02:00:00,268348937.02741
62,2021-04-07 02:00:00,255949337.6123
63,2021-04-08 02:00:00,257918368.59199
64,2021-04-09 02:00:00,281809238.3823
65,2021-04-10 02:00:00,286461754.35819
66,2021-04-11 02:00:00,278685712.75583
67,2021-04-12 02:00:00,283546885.22768
68,2021-04-13 02:00:00,275204634.97044
69,2021-04-14 02:00:00,272866479.40358
70,2021-04-15 02:00:00,297408338.00046
71,2021-04-16 02:00:00,296966576.88756
72,2021-04-17 02:00:00,294351172.73927
73,2021-04-18 02:00:00,324344782.60264
74,2021-04-19 02:00:00,281128883.24291
75,2021-04-20 02:00:00,282984940.70151
76,2021-04-21 02:00:00,287283991.06116
77,2021-04-22 02:00:00,298914992.3769
78,2021-04-23 02:00:00,295134701.18676
79,2021-04-24 02:00:00,271138373.99734
80,2021-04-25 02:00:00,262997223.13453
81,2021-04-26 02:00:00,261002704.64508
82,2021-04-27 02:00:00,294320487.84298
83,2021-04-28 02:00:00,321297206.7855
84,2021-04-29 02:00:00,338356713.34928
85,2021-04-30 02:00:00,326237721.51447
86,2021-05-01 02:00:00,332452388.09232
87,2021-05-02 02:00:00,332179624.41449
88,2021-05-03 02:00:00,328152238.72116
89,2021-05-04 02:00:00,354084433.98171
90,2021-05-05 02:00:00,338797460.116
91,2021-05-06 02:00:00,386631474.08961
92,2021-05-07 02:00:00,389466789.44741
93,2021-05-08 02:00:00,358856788.23775
94,2021-05-09 02:00:00,393353696.32144
95,2021-05-10 02:00:00,350126914.07972
96,2021-05-11 02:00:00,333285726.36301
97,2021-05-12 02:00:00,314064712.96776
98,2021-05-13 02:00:00,194793760.17289
99,2021-05-14 02:00:00,195330341.13311
100,2021-05-15 02:00:00,171386632.95574
101,2021-05-16 02:00:00,139501999.19585
102,2021-05-17 02:00:00,127818122.05061
103,2021-05-18 02:00:00,125578316.48199
104,2021-05-19 02:00:00,84521009.44912
105,2021-05-20 02:00:00,91450460.03646
106,2021-05-21 02:00:00,75014330.78417
107,2021-05-22 02:00:00,72559503.89704
108,2021-05-23 02:00:00,62144223.27202
109,2021-05-24 02:00:00,75922417.79533
110,2021-05-25 02:00:00,67445841.38156
