,date,totalLiquidityUSD
0,2022-05-19 02:00:00,112084402.93785
1,2022-05-20 02:00:00,111764887.94404
2,2022-05-21 02:00:00,127391285.16552
3,2022-05-22 02:00:00,127082191.02654
4,2022-05-23 02:00:00,133028946.28117
5,2022-05-24 02:00:00,142100137.33606
6,2022-05-25 02:00:00,141350336.49655
7,2022-05-26 02:00:00,140918191.38359
8,2022-05-27 02:00:00,126143762.87384
9,2022-05-28 02:00:00,112398044.10592
10,2022-05-29 02:00:00,114667900.35744
11,2022-05-30 02:00:00,121769764.91075
12,2022-05-31 02:00:00,134074446.34498
13,2022-06-01 02:00:00,146369455.30449
14,2022-06-02 02:00:00,136852068.58469
15,2022-06-03 02:00:00,137289634.50372
16,2022-06-04 02:00:00,131167715.01376
17,2022-06-05 02:00:00,133543063.38959
18,2022-06-06 02:00:00,136002665.8266
19,2022-06-07 02:00:00,151218106.08161
20,2022-06-08 02:00:00,136019226.38296
21,2022-06-09 02:00:00,134046473.35388
22,2022-06-10 02:00:00,132065060.59377
23,2022-06-11 02:00:00,116523698.91431
24,2022-06-12 02:00:00,94914121.54728
25,2022-06-13 02:00:00,93469877.63753
26,2022-06-14 02:00:00,56935218.48098
27,2022-06-15 02:00:00,49992847.92598
28,2022-06-16 02:00:00,56133026.36443
29,2022-06-17 02:00:00,49643807.10205
30,2022-06-18 02:00:00,51670806.49491
31,2022-06-19 02:00:00,46985128.72093
32,2022-06-20 02:00:00,52508154.23688
33,2022-06-21 02:00:00,55595538.33765
34,2022-06-22 02:00:00,53462304.96153
35,2022-06-23 02:00:00,51652391.99019
36,2022-06-24 02:00:00,55129658.78103
37,2022-06-25 02:00:00,59342841.83111
38,2022-06-26 02:00:00,59998098.55839
39,2022-06-27 02:00:00,59099680.36174
40,2022-06-28 02:00:00,57870016.70935
41,2022-06-29 02:00:00,56523222.84067
42,2022-06-30 02:00:00,49229876.42759
43,2022-07-01 02:00:00,48187982.00559
44,2022-07-02 02:00:00,47092800.08462
45,2022-07-03 02:00:00,47085664.6399
46,2022-07-04 02:00:00,48247979.81806
47,2022-07-05 02:00:00,52068743.20683
48,2022-07-06 02:00:00,53731413.30845
49,2022-07-07 02:00:00,67974171.93944
50,2022-07-08 02:00:00,71760721.16751
51,2022-07-09 02:00:00,76527379.93364
52,2022-07-10 02:00:00,77214606.9665
53,2022-07-11 02:00:00,74859083.58835
54,2022-07-12 02:00:00,69878550.12701
55,2022-07-13 02:00:00,66023109.55112
56,2022-07-14 02:00:00,69649499.4773
57,2022-07-15 02:00:00,74772284.41527
58,2022-07-16 02:00:00,77306351.74298
59,2022-07-17 02:00:00,85340240.70978
60,2022-07-18 02:00:00,84054523.4272
61,2022-07-19 02:00:00,90351634.0918
62,2022-07-20 02:00:00,86841282.98089
63,2022-07-21 02:00:00,86451888.42441
64,2022-07-22 02:00:00,83028807.75747
65,2022-07-23 02:00:00,82383111.09058
66,2022-07-24 02:00:00,80721318.52121
67,2022-07-25 02:00:00,76427865.90776
68,2022-07-26 02:00:00,69335477.27409
69,2022-07-27 02:00:00,65775020.93843
70,2022-07-28 02:00:00,75499306.92398
71,2022-07-29 02:00:00,83558312.73412
72,2022-07-30 02:00:00,86549421.73908
73,2022-07-31 02:00:00,85820616.09718
74,2022-08-01 02:00:00,85862677.57605
75,2022-08-02 02:00:00,82209455.55242
76,2022-08-03 02:00:00,79891464.41118
77,2022-08-04 02:00:00,81440351.02541
78,2022-08-05 02:00:00,81022310.89407
79,2022-08-06 02:00:00,86887604.3209
80,2022-08-07 02:00:00,73989105.65399
81,2022-08-08 02:00:00,77932989.74722
82,2022-08-09 02:00:00,81170598.18361
83,2022-08-10 02:00:00,76652688.73967
84,2022-08-11 02:00:00,88070231.18272
85,2022-08-12 02:00:00,89023300.76999
86,2022-08-13 02:00:00,88930994.00509
87,2022-08-14 02:00:00,97511069.01861
88,2022-08-15 02:00:00,94837823.50965
89,2022-08-16 02:00:00,91588287.4777
90,2022-08-17 02:00:00,91911506.28956
91,2022-08-18 02:00:00,86944949.17744
92,2022-08-19 02:00:00,85170246.35844
93,2022-08-20 02:00:00,72337173.14655
94,2022-08-21 02:00:00,50776685.36799
95,2022-08-22 02:00:00,36459972.25495
96,2022-08-23 02:00:00,36035805.50129
97,2022-08-24 02:00:00,44433975.52191
98,2022-08-25 02:00:00,60123435.91597
99,2022-08-26 02:00:00,78253271.08319
100,2022-08-27 02:00:00,74210613.76913
101,2022-08-28 02:00:00,80094005.70861
102,2022-08-29 02:00:00,78330663.446
103,2022-08-30 02:00:00,86002543.36402
104,2022-08-31 02:00:00,90451511.34009
105,2022-09-01 02:00:00,88559539.76306
