,date,totalLiquidityUSD
0,2022-12-05 01:00:00,1.92303
1,2022-12-06 01:00:00,128221.04994
2,2022-12-07 01:00:00,14335943.63779
3,2022-12-08 01:00:00,15155391.92447
4,2022-12-09 01:00:00,17622572.79007
5,2022-12-10 01:00:00,20441392.62653
6,2022-12-11 01:00:00,17049658.23517
7,2022-12-12 01:00:00,19214474.08561
8,2022-12-13 01:00:00,19394892.55106
9,2022-12-14 01:00:00,22442906.46369
10,2022-12-15 01:00:00,22701931.0091
11,2022-12-16 01:00:00,22039404.46267
12,2022-12-17 01:00:00,19729605.78109
13,2022-12-18 01:00:00,19269343.65973
14,2022-12-19 01:00:00,17628591.98675
15,2022-12-20 01:00:00,20564586.6121
16,2022-12-21 01:00:00,21430129.78895
17,2022-12-22 01:00:00,26362466.93667
18,2022-12-23 01:00:00,26838811.32387
19,2022-12-24 01:00:00,28834071.20084
20,2022-12-25 01:00:00,30292260.98263
21,2022-12-26 01:00:00,31773112.61767
22,2022-12-27 01:00:00,32318618.31455
23,2022-12-28 01:00:00,32018850.92488
24,2022-12-29 01:00:00,27378374.76394
25,2022-12-30 01:00:00,23364425.18017
26,2022-12-31 01:00:00,22039107.14652
27,2023-01-01 01:00:00,23035737.02511
28,2023-01-02 01:00:00,23809312.28643
29,2023-01-03 01:00:00,24588847.08607
30,2023-01-04 01:00:00,25893024.53166
31,2023-01-05 01:00:00,26014779.63157
32,2023-01-06 01:00:00,27236804.27354
33,2023-01-07 01:00:00,29368038.79089
34,2023-01-08 01:00:00,29164959.58188
35,2023-01-09 01:00:00,29543315.33943
36,2023-01-10 01:00:00,28831701.77
37,2023-01-11 01:00:00,28234288.451
38,2023-01-12 01:00:00,28315644.72056
39,2023-01-13 01:00:00,28208310.82317
40,2023-01-14 01:00:00,31090533.79552
41,2023-01-15 01:00:00,29467119.17855
42,2023-01-16 01:00:00,30187688.8472
43,2023-01-17 01:00:00,31156717.96347
44,2023-01-18 01:00:00,30179069.30452
45,2023-01-19 01:00:00,28123242.28867
46,2023-01-20 01:00:00,33074621.10104
47,2023-01-21 01:00:00,34415302.08793
48,2023-01-22 01:00:00,35518999.68824
49,2023-01-23 01:00:00,35184855.67008
50,2023-01-24 01:00:00,35172471.24974
51,2023-01-25 01:00:00,34082579.51072
52,2023-01-26 01:00:00,35835966.06679
53,2023-01-27 01:00:00,34571796.48792
54,2023-01-28 01:00:00,34989352.46962
55,2023-01-29 01:00:00,34287727.7283
56,2023-01-30 01:00:00,35736878.41159
57,2023-01-31 01:00:00,35269111.89998
58,2023-02-01 01:00:00,34638802.49909
59,2023-02-02 01:00:00,37962611.83848
60,2023-02-03 01:00:00,39285278.91626
61,2023-02-04 01:00:00,39691212.10495
62,2023-02-05 01:00:00,38660478.31538
63,2023-02-06 01:00:00,41184509.44816
64,2023-02-07 01:00:00,41174353.9244
65,2023-02-08 01:00:00,48114870.0463
66,2023-02-09 01:00:00,48336480.54423
67,2023-02-10 01:00:00,40228476.86674
68,2023-02-11 01:00:00,40287816.69837
69,2023-02-12 01:00:00,41068227.52675
70,2023-02-13 01:00:00,40311138.19583
71,2023-02-14 01:00:00,36245447.24588
72,2023-02-15 01:00:00,37451721.31751
73,2023-02-16 01:00:00,77527052.94109
74,2023-02-17 01:00:00,80415749.02275
75,2023-02-18 01:00:00,104002571.79245
76,2023-02-19 01:00:00,121010898.72453
77,2023-02-20 01:00:00,123736130.15224
78,2023-02-21 01:00:00,130054960.85245
79,2023-02-22 01:00:00,121316182.04461
80,2023-02-23 01:00:00,121446827.83102
81,2023-02-24 01:00:00,126370844.20391
82,2023-02-25 01:00:00,127648373.14965
83,2023-02-26 01:00:00,134684791.55149
84,2023-02-27 01:00:00,142559333.51601
85,2023-02-28 01:00:00,143077410.71797
86,2023-03-01 01:00:00,143509383.20033
87,2023-03-02 01:00:00,147181241.37309
88,2023-03-03 01:00:00,146643811.84037
89,2023-03-04 01:00:00,133416854.44044
90,2023-03-05 01:00:00,143052025.21452
91,2023-03-06 01:00:00,142594892.33322
92,2023-03-07 01:00:00,143309807.78523
93,2023-03-08 01:00:00,144121954.74469
94,2023-03-09 01:00:00,135694828.14136
95,2023-03-10 01:00:00,119206612.04088
96,2023-03-11 01:00:00,102584207.34423
97,2023-03-12 01:00:00,98220125.29667
98,2023-03-13 01:00:00,106926735.43629
99,2023-03-14 01:00:00,112192232.46444
100,2023-03-15 01:00:00,119332014.79633
101,2023-03-16 01:00:00,121659762.80839
102,2023-03-17 01:00:00,133842575.25076
103,2023-03-18 01:00:00,141271747.31535
104,2023-03-19 01:00:00,140725602.16602
105,2023-03-20 01:00:00,133876082.11407
106,2023-03-21 01:00:00,136246677.87164
107,2023-03-22 01:00:00,137294400.71436
108,2023-03-23 01:00:00,132210470.10554
109,2023-03-24 01:00:00,128061751.64314
110,2023-03-25 01:00:00,126938443.97819
111,2023-03-26 01:00:00,129033480.52622
112,2023-03-27 02:00:00,139718398.88894
113,2023-03-28 02:00:00,143784760.32594
114,2023-03-29 02:00:00,145900435.06606
115,2023-03-30 02:00:00,134744950.80125
116,2023-03-31 02:00:00,130216786.75489
117,2023-04-01 02:00:00,126764950.9854
118,2023-04-02 02:00:00,132415055.23608
119,2023-04-03 02:00:00,108937246.96322
120,2023-04-04 02:00:00,127666222.34896
121,2023-04-05 02:00:00,126348373.21008
122,2023-04-06 02:00:00,123908688.14024
123,2023-04-07 02:00:00,116841850.05325
124,2023-04-08 02:00:00,124805528.86396
125,2023-04-09 02:00:00,124142687.26962
126,2023-04-10 02:00:00,123210792.78683
127,2023-04-11 02:00:00,132127107.04157
128,2023-04-12 02:00:00,129946871.8059
129,2023-04-13 02:00:00,129249537.74462
130,2023-04-14 02:00:00,131986775.3253
131,2023-04-15 02:00:00,131575282.40016
132,2023-04-16 02:00:00,132924931.68325
133,2023-04-17 02:00:00,95886060.17834
134,2023-04-18 02:00:00,129430401.0224
135,2023-04-19 02:00:00,107938181.703
136,2023-04-20 02:00:00,98396419.19468
137,2023-04-21 02:00:00,94830099.87315
