,date,totalLiquidityUSD
0,2021-03-24 00:00:00,76927182.24
1,2021-03-25 00:00:00,762329605.95
2,2021-03-26 00:00:00,649775768.24
3,2021-03-27 00:00:00,964285046.67
4,2021-03-28 00:00:00,1242201194.36
5,2021-03-29 00:00:00,1900037961.16
6,2021-03-30 00:00:00,1827805399.3
7,2021-03-31 00:00:00,1941518772.32
8,2021-04-01 00:00:00,2017666466.64
9,2021-04-02 00:00:00,2171203248.7
10,2021-04-03 00:00:00,2473548990.47
11,2021-04-04 00:00:00,2680759567.27
12,2021-04-05 00:00:00,2891818047.99
13,2021-04-06 02:00:00,2435448469.25
14,2021-04-07 02:00:00,2395415102.51
15,2021-04-08 02:00:00,2494442540.74
16,2021-04-09 02:00:00,2406585344.33
17,2021-04-10 02:00:00,2361570598.87
18,2021-04-11 02:00:00,2427470276.51884
19,2021-04-12 02:00:00,2421147414.99183
20,2021-04-13 02:00:00,2367183488.34262
21,2021-04-14 02:00:00,2583997681.80652
22,2021-04-15 02:00:00,2580428800.35809
23,2021-04-16 02:00:00,2584965004.44909
24,2021-04-17 02:00:00,2570600655.87207
25,2021-04-18 02:00:00,2707707404.6709
26,2021-04-19 02:00:00,2553817122.52432
27,2021-04-20 02:00:00,2699987408.48115
28,2021-04-21 02:00:00,2735757687.70878
29,2021-04-22 02:00:00,3293978880.67169
30,2021-04-23 02:00:00,3455197666.04396
31,2021-04-24 02:00:00,2937754657.24524
32,2021-04-25 02:00:00,2913166521.82956
33,2021-04-26 02:00:00,2891200245.15651
34,2021-04-27 02:00:00,2875313269.0923
35,2021-04-28 02:00:00,2856048348.31174
36,2021-04-29 02:00:00,2554487187.26645
37,2021-04-30 02:00:00,2396335527.26394
38,2021-05-01 02:00:00,2141029583.5672
39,2021-05-02 02:00:00,2640661457.78492
40,2021-05-04 02:00:00,2269585379.15467
41,2021-05-05 02:00:00,2779962753.67767
42,2021-05-06 02:00:00,2761193771.94482
43,2021-05-07 02:00:00,2760519521.31571
44,2021-05-08 02:00:00,2722218722.98668
45,2021-05-09 02:00:00,2697519763.41258
46,2021-05-10 02:00:00,2678614258.3477
47,2021-05-11 02:00:00,2686602395.91106
48,2021-05-12 02:00:00,2678054902.51127
49,2021-05-13 02:00:00,2600411043.74772
50,2021-05-14 02:00:00,2597447683.59148
51,2021-05-15 02:00:00,2830661700.77847
52,2021-05-16 02:00:00,2822040243.94593
53,2021-05-17 02:00:00,2812937182.55123
54,2021-05-18 02:00:00,2780676164.38285
55,2021-05-19 02:00:00,592236464.18291
56,2021-05-20 02:00:00,2069058279.72736
57,2021-05-21 02:00:00,2063849214.26828
58,2021-05-22 02:00:00,2041247277.34099
59,2021-05-23 02:00:00,2021385771.022
60,2021-05-24 02:00:00,2017401706.35989
61,2021-05-25 02:00:00,2017835327.58374
62,2021-05-26 02:00:00,2015321555.53557
63,2021-05-27 02:00:00,1389294887.0057
64,2021-05-28 02:00:00,1388812121.43016
65,2021-05-29 02:00:00,1404416954.25515
66,2021-05-30 02:00:00,1403234818.377
67,2021-05-31 02:00:00,1570842695.16211
68,2021-06-01 02:00:00,1602713957.65413
69,2021-06-02 02:00:00,1450030556.40758
70,2021-06-03 02:00:00,1655720550.62544
71,2021-06-04 02:00:00,1604844981.39567
72,2021-06-05 02:00:00,1617442740.92509
73,2021-06-06 02:00:00,1624560544.29976
74,2021-06-07 02:00:00,1628805082.11088
75,2021-06-08 02:00:00,1632166388.61819
76,2021-06-09 02:00:00,1636434166.76648
77,2021-06-10 02:00:00,1630617812.40525
78,2021-06-11 02:00:00,1627133667.56657
79,2021-06-12 02:00:00,1620178563.00203
80,2021-06-13 02:00:00,1623428839.59255
81,2021-06-14 02:00:00,1623438553.73375
82,2021-06-15 02:00:00,1624935395.90166
83,2021-06-16 02:00:00,1623227278.26564
84,2021-06-17 02:00:00,1625460494.00102
85,2021-06-18 02:00:00,1622032329.44122
86,2021-06-19 02:00:00,1621959745.87223
87,2021-06-20 02:00:00,1621323583.85519
88,2021-06-21 02:00:00,1618070372.79813
89,2021-06-22 02:00:00,1608627682.01391
90,2021-06-23 02:00:00,1611042204.30432
91,2021-06-24 02:00:00,1624161344.74173
92,2021-06-25 02:00:00,1621090282.51112
93,2021-06-26 02:00:00,1618499087.16362
94,2021-06-27 02:00:00,1613588996.46994
95,2021-06-28 02:00:00,1634073709.59779
96,2021-06-29 02:00:00,1638818343.50994
97,2021-06-30 02:00:00,1635012595.50906
98,2021-07-01 02:00:00,1623872645.96911
99,2021-07-02 02:00:00,1623389861.27884
100,2021-07-03 02:00:00,1622267275.02882
101,2021-07-04 02:00:00,1618986605.57457
102,2021-07-05 02:00:00,1617443661.86651
103,2021-07-06 02:00:00,1616357498.1959
104,2021-07-07 02:00:00,1653807595.13281
105,2021-07-08 02:00:00,1642589024.787
106,2021-07-09 02:00:00,1642925335.00817
107,2021-07-10 02:00:00,1640597449.94814
108,2021-07-11 02:00:00,1645272213.86876
109,2021-07-12 02:00:00,1640777321.81391
110,2021-07-13 02:00:00,1647051480.05204
111,2021-07-14 02:00:00,1654319914.97664
112,2021-07-15 02:00:00,1278319851.66404
113,2021-07-16 02:00:00,1268661574.04316
114,2021-07-17 02:00:00,1266631712.64316
115,2021-07-18 02:00:00,1264466142.08622
116,2021-07-19 02:00:00,1264029606.15782
117,2021-07-20 02:00:00,1271005944.19461
118,2021-07-21 02:00:00,1275949060.72116
119,2021-07-22 02:00:00,1280957267.07563
120,2021-07-23 02:00:00,1230087443.57101
121,2021-07-24 02:00:00,1233292904.10264
122,2021-07-25 02:00:00,1246700380.46242
123,2021-07-26 02:00:00,1227030577.03932
124,2021-07-27 02:00:00,1230282006.55317
125,2021-07-28 02:00:00,1229368607.47133
126,2021-07-29 02:00:00,1230767889.10021
127,2021-07-30 02:00:00,1219836703.15453
128,2021-07-31 02:00:00,1220094764.16837
129,2021-08-01 02:00:00,1214664335.52551
130,2021-08-02 02:00:00,1215125208.87635
131,2021-08-03 02:00:00,1218522418.15385
132,2021-08-04 02:00:00,1221862492.37328
133,2021-08-05 02:00:00,1211853499.01552
134,2021-08-06 02:00:00,990087589.40636
135,2021-08-07 02:00:00,1000601885.60558
136,2021-08-08 02:00:00,998032458.13071
137,2021-08-09 02:00:00,1008347616.39129
138,2021-08-10 02:00:00,1137712484.813
139,2021-08-11 02:00:00,1015662258.44558
140,2021-08-12 02:00:00,1010455934.51116
141,2021-08-13 02:00:00,1019751551.99354
142,2021-08-14 02:00:00,1016452034.44928
143,2021-08-15 02:00:00,1024767519.80096
144,2021-08-16 02:00:00,1019702779.71414
145,2021-08-17 02:00:00,1013183410.77762
146,2021-08-18 02:00:00,1021886889.60934
147,2021-08-19 02:00:00,1025135488.62167
148,2021-08-20 02:00:00,1030215369.31093
149,2021-08-21 02:00:00,1028620966.25157
150,2021-08-22 02:00:00,1026745850.45428
151,2021-08-23 02:00:00,1031737567.61651
152,2021-08-24 02:00:00,1026068710.23812
153,2021-08-25 02:00:00,1031167810.28713
154,2021-08-26 02:00:00,1036247576.99189
155,2021-08-27 02:00:00,1044083996.59132
156,2021-08-28 02:00:00,1058301416.06399
157,2021-08-29 02:00:00,1070045100.02045
158,2021-08-30 02:00:00,1060925122.28578
159,2021-08-31 02:00:00,1058218067.98902
160,2021-09-01 02:00:00,1058375905.8885
161,2021-09-02 02:00:00,1055628810.84336
162,2021-09-03 02:00:00,1057303232.54743
163,2021-09-04 02:00:00,1056863528.44148
164,2021-09-05 02:00:00,1057791797.52892
165,2021-09-06 02:00:00,1064706345.60946
166,2021-09-07 02:00:00,1039544046.41821
167,2021-09-08 02:00:00,1036219564.01964
168,2021-09-09 02:00:00,1034855375.74213
169,2021-09-10 02:00:00,1024818834.37251
170,2021-09-11 02:00:00,1025486715.30183
171,2021-09-12 02:00:00,1025591097.95885
172,2021-09-13 02:00:00,1020792352.54592
173,2021-09-14 02:00:00,1021722275.77293
174,2021-09-15 02:00:00,1024082064.55032
175,2021-09-16 02:00:00,1020000123.0141
176,2021-09-17 02:00:00,1021265053.36333
177,2021-09-18 02:00:00,1023288668.58417
178,2021-09-19 02:00:00,1015759766.54292
179,2021-09-20 02:00:00,993090055.8753
180,2021-09-21 02:00:00,988076433.37478
181,2021-09-22 02:00:00,998891642.91989
182,2021-09-23 02:00:00,855097404.95861
183,2021-09-24 02:00:00,795202144.09603
184,2021-09-25 02:00:00,794870000.98139
185,2021-09-26 02:00:00,796036033.35512
186,2021-09-27 02:00:00,794817163.70851
187,2021-09-28 02:00:00,794325322.56993
188,2021-09-29 02:00:00,674031894.90007
189,2021-09-30 02:00:00,601839020.9956
190,2021-10-01 02:00:00,606690816.34903
191,2021-10-02 02:00:00,606369523.59371
192,2021-10-03 02:00:00,608725896.21878
193,2021-10-04 02:00:00,614697418.1859
194,2021-10-05 02:00:00,614787732.88847
195,2021-10-06 02:00:00,614067728.00069
196,2021-10-07 02:00:00,616777997.38605
197,2021-10-08 02:00:00,623824210.60972
198,2021-10-09 02:00:00,618063874.39276
199,2021-10-10 02:00:00,619578597.94126
200,2021-10-11 02:00:00,616314996.66825
201,2021-10-12 02:00:00,616065073.40117
202,2021-10-13 02:00:00,617933573.38557
203,2021-10-14 02:00:00,622469505.46
204,2021-10-15 02:00:00,627765681.16955
