,date,totalLiquidityUSD
0,2023-03-02 01:00:00,1515827.01475
1,2023-03-03 01:00:00,1938280.22858
2,2023-03-04 01:00:00,2987845.90948
3,2023-03-05 01:00:00,3267001.97003
4,2023-03-06 01:00:00,3440620.4671
5,2023-03-07 01:00:00,3862338.52882
6,2023-03-08 01:00:00,4612192.26793
7,2023-03-09 01:00:00,4672667.75659
8,2023-03-10 01:00:00,4836799.91765
9,2023-03-11 01:00:00,4931444.20997
10,2023-03-12 01:00:00,5093851.22092
11,2023-03-13 01:00:00,5621261.17274
12,2023-03-14 01:00:00,5855965.28076
13,2023-03-15 01:00:00,5918383.32993
14,2023-03-16 01:00:00,5617421.6738
15,2023-03-17 01:00:00,5697567.07114
16,2023-03-18 01:00:00,6349148.73025
17,2023-03-19 01:00:00,6631245.18967
18,2023-03-20 01:00:00,7924650.50144
19,2023-03-21 01:00:00,8171458.47416
20,2023-03-22 01:00:00,9105672.431
21,2023-03-23 01:00:00,9494768.31606
22,2023-03-24 01:00:00,10255295.27098
23,2023-03-25 01:00:00,10825874.95416
24,2023-03-26 01:00:00,11253863.82331
25,2023-03-27 02:00:00,11884024.4323
26,2023-03-28 02:00:00,11754690.79544
27,2023-03-29 02:00:00,12860597.38001
28,2023-03-30 02:00:00,13639096.36521
29,2023-03-31 02:00:00,14696208.48963
30,2023-04-01 02:00:00,16291009.20711
31,2023-04-02 02:00:00,19395622.05449
32,2023-04-03 02:00:00,20715400.38332
33,2023-04-04 02:00:00,22000084.53351
34,2023-04-05 02:00:00,24403871.64202
35,2023-04-06 02:00:00,24842707.77377
36,2023-04-07 02:00:00,25419644.06328
37,2023-04-08 02:00:00,26074178.85708
38,2023-04-09 02:00:00,26381101.32687
39,2023-04-10 02:00:00,27242356.77988
40,2023-04-11 02:00:00,28327433.22908
41,2023-04-12 02:00:00,28235467.87972
42,2023-04-13 02:00:00,32908002.94895
43,2023-04-14 02:00:00,37471801.94666
44,2023-04-15 02:00:00,38229342.04073
45,2023-04-16 02:00:00,39266172.39933
46,2023-04-17 02:00:00,39777070.28424
47,2023-04-18 02:00:00,40279747.21581
48,2023-04-19 02:00:00,42428973.99767
49,2023-04-20 02:00:00,40327690.67692
50,2023-04-21 02:00:00,40821968.05196
51,2023-04-22 02:00:00,38862688.85226
52,2023-04-23 02:00:00,39090891.24399
53,2023-04-24 02:00:00,39356943.62995
54,2023-04-25 02:00:00,39161054.48497
55,2023-04-26 02:00:00,40306352.25197
56,2023-04-27 02:00:00,42456446.05578
57,2023-04-28 02:00:00,43055817.14161
58,2023-04-29 02:00:00,42915992.8596
59,2023-04-30 02:00:00,43274440.15408
60,2023-05-01 02:00:00,42937693.04279
61,2023-05-02 02:00:00,41507671.76408
62,2023-05-03 02:00:00,41944906.87297
63,2023-05-04 02:00:00,42351188.12039
64,2023-05-05 02:00:00,40281646.39263
65,2023-05-06 02:00:00,42625090.40369
66,2023-05-07 02:00:00,40011531.9216
67,2023-05-08 02:00:00,39338122.53369
68,2023-05-09 02:00:00,37863223.39699
69,2023-05-10 02:00:00,37863578.60208
70,2023-05-11 02:00:00,37381710.2092
71,2023-05-12 02:00:00,36293789.98768
72,2023-05-13 02:00:00,35722938.63166
73,2023-05-14 02:00:00,35381784.35616
74,2023-05-15 02:00:00,35084056.39237
75,2023-05-16 02:00:00,35679530.98633
76,2023-05-17 02:00:00,35849772.94651
77,2023-05-18 02:00:00,35145283.11069
78,2023-05-19 02:00:00,34604924.58705
79,2023-05-20 02:00:00,34304885.72275
80,2023-05-21 02:00:00,34849064.77851
81,2023-05-22 02:00:00,34276771.48238
82,2023-05-23 02:00:00,34396297.96593
83,2023-05-24 02:00:00,34327929.44254
84,2023-05-25 02:00:00,33133284.31916
85,2023-05-26 02:00:00,33189746.14818
86,2023-05-27 02:00:00,33506618.49576
87,2023-05-28 02:00:00,33476560.75606
88,2023-05-29 02:00:00,34801067.28455
89,2023-05-30 02:00:00,34268469.65586
90,2023-05-31 02:00:00,34481715.91183
91,2023-06-01 02:00:00,33227489.55664
92,2023-06-02 02:00:00,33005297.6116
93,2023-06-03 02:00:00,33598249.9978
94,2023-06-04 02:00:00,33351268.94436
95,2023-06-05 02:00:00,33201601.84441
96,2023-06-06 02:00:00,32028799.27072
97,2023-06-07 02:00:00,33184265.98374
98,2023-06-08 02:00:00,32295877.28917
99,2023-06-09 02:00:00,32399574.30972
100,2023-06-10 02:00:00,32277535.34985
101,2023-06-11 02:00:00,30775164.01491
102,2023-06-12 02:00:00,30795299.12044
