,date,totalLiquidityUSD
0,2021-12-23 01:00:00,13520.0
1,2021-12-24 01:00:00,1258097.71902
2,2021-12-25 01:00:00,4621891.4634
3,2021-12-26 01:00:00,5472442.98251
4,2021-12-27 01:00:00,5415700.80008
5,2021-12-28 01:00:00,5717117.58964
6,2021-12-29 01:00:00,5893909.73416
7,2021-12-30 01:00:00,5770210.98133
8,2021-12-31 01:00:00,5429687.61724
9,2022-01-01 01:00:00,5258911.6397
10,2022-01-02 01:00:00,5276224.60519
11,2022-01-03 01:00:00,5369703.43485
12,2022-01-04 01:00:00,6280303.62564
13,2022-01-05 01:00:00,6295765.62843
14,2022-01-06 01:00:00,6402337.77998
15,2022-01-07 01:00:00,6242417.95697
16,2022-01-08 01:00:00,6291804.26258
17,2022-01-09 01:00:00,6043646.8012
18,2022-01-10 01:00:00,6089348.04522
19,2022-01-11 01:00:00,6021600.82806
20,2022-01-12 01:00:00,6127602.00265
21,2022-01-13 01:00:00,6206652.44863
22,2022-01-14 01:00:00,5986249.90257
23,2022-01-15 01:00:00,5982759.87093
24,2022-01-16 01:00:00,6599956.76716
25,2022-01-17 01:00:00,6595647.22162
26,2022-01-18 01:00:00,6991397.94841
27,2022-01-19 01:00:00,7078742.55437
28,2022-01-20 01:00:00,7056617.94035
29,2022-01-21 01:00:00,6413885.55439
30,2022-01-22 01:00:00,5987603.85411
31,2022-01-23 01:00:00,6547578.53369
32,2022-01-24 01:00:00,6645249.8274
33,2022-01-25 01:00:00,6615861.24504
34,2022-01-26 01:00:00,6647035.04478
35,2022-01-27 01:00:00,6746156.33755
36,2022-01-28 01:00:00,6634937.40858
37,2022-01-29 01:00:00,6754710.35572
38,2022-01-30 01:00:00,6801452.79387
39,2022-01-31 01:00:00,6769931.69454
40,2022-02-01 01:00:00,6852225.56505
41,2022-02-02 01:00:00,6967545.16264
42,2022-02-03 01:00:00,6828302.16331
43,2022-02-04 01:00:00,6915925.35949
44,2022-02-05 01:00:00,7274197.61548
45,2022-02-06 01:00:00,7291464.34456
46,2022-02-07 01:00:00,7316182.78498
47,2022-02-08 01:00:00,7471635.9858
48,2022-02-09 01:00:00,7463141.88962
49,2022-02-10 01:00:00,7513542.58623
50,2022-02-11 01:00:00,7398355.06788
51,2022-02-12 01:00:00,7227808.41857
52,2022-02-13 01:00:00,6952463.38548
53,2022-02-14 01:00:00,6979438.41079
54,2022-02-15 01:00:00,6983811.01539
55,2022-02-16 01:00:00,7190727.38634
56,2022-02-17 01:00:00,7176468.5256
57,2022-02-18 01:00:00,7000627.458
58,2022-02-19 01:00:00,7157524.99524
59,2022-02-20 01:00:00,7084137.51459
60,2022-02-21 01:00:00,6952743.02558
61,2022-02-22 01:00:00,6867055.10519
62,2022-02-23 01:00:00,6942761.59363
63,2022-02-24 01:00:00,6950571.00442
64,2022-02-25 01:00:00,6991300.26446
65,2022-02-26 01:00:00,7109885.20565
66,2022-02-27 01:00:00,6595802.25718
67,2022-02-28 01:00:00,6476118.36704
68,2022-03-01 01:00:00,6881610.2947
69,2022-03-02 01:00:00,6947955.30347
70,2022-03-03 01:00:00,6937119.64662
71,2022-03-04 01:00:00,6781425.11226
72,2022-03-05 01:00:00,6609338.57957
73,2022-03-06 01:00:00,6609031.71289
74,2022-03-07 01:00:00,6497992.06744
75,2022-03-08 01:00:00,6552171.2604
76,2022-03-09 01:00:00,6660695.44752
77,2022-03-10 01:00:00,6857178.94892
78,2022-03-11 01:00:00,6628915.64746
79,2022-03-12 01:00:00,6618374.44959
80,2022-03-13 01:00:00,6580299.5811
81,2022-03-14 01:00:00,6539211.43619
82,2022-03-15 01:00:00,6806258.75581
83,2022-03-16 01:00:00,7814249.54297
84,2022-03-17 01:00:00,8620153.29367
85,2022-03-18 01:00:00,8720868.96864
86,2022-03-19 01:00:00,8872836.58894
87,2022-03-20 01:00:00,8845572.44839
