,date,totalLiquidityUSD
0,2021-10-01 02:00:00,10472424.85152
1,2021-10-02 02:00:00,12546293.41849
2,2021-10-03 02:00:00,12004005.64832
3,2021-10-04 02:00:00,10419787.92767
4,2021-10-05 02:00:00,11278940.61842
5,2021-10-06 02:00:00,11302784.47526
6,2021-10-07 02:00:00,11066439.73014
7,2021-10-08 02:00:00,11378423.36459
8,2021-10-09 02:00:00,11148405.2769
9,2021-10-10 02:00:00,11324217.94451
10,2021-10-11 02:00:00,10910477.05935
11,2021-10-12 02:00:00,10952374.54688
12,2021-10-13 02:00:00,10945685.4065
13,2021-10-14 02:00:00,11448060.64577
14,2021-10-15 02:00:00,11662169.85511
15,2021-10-16 02:00:00,11483875.81453
16,2021-10-17 02:00:00,11768826.35262
17,2021-10-18 02:00:00,11408897.0176
18,2021-10-19 02:00:00,11282153.58787
19,2021-10-20 02:00:00,11480577.07589
20,2021-10-21 02:00:00,12429567.02355
21,2021-10-22 02:00:00,12146955.32542
22,2021-10-23 02:00:00,10107989.41333
23,2021-10-24 02:00:00,10562547.39376
24,2021-10-25 02:00:00,9318854.34062
25,2021-10-26 02:00:00,9636909.05372
26,2021-10-27 02:00:00,10010498.06685
27,2021-10-28 02:00:00,9145927.6347
28,2021-10-29 02:00:00,10576119.3485
29,2021-10-30 02:00:00,10581500.08556
30,2021-10-31 02:00:00,10478793.0332
31,2021-11-01 01:00:00,10633134.16497
32,2021-11-02 01:00:00,10964716.72988
33,2021-11-03 01:00:00,11013957.99374
34,2021-11-04 01:00:00,11325266.39962
35,2021-11-05 01:00:00,10956796.07646
36,2021-11-06 01:00:00,10800308.15292
37,2021-11-07 01:00:00,10607422.55071
38,2021-11-08 01:00:00,10719076.47602
39,2021-11-09 01:00:00,10897006.0409
40,2021-11-10 01:00:00,10897435.34245
41,2021-11-11 01:00:00,9255008.47092
42,2021-11-12 01:00:00,9361980.18622
43,2021-11-13 01:00:00,8912429.27204
44,2021-11-14 01:00:00,9052360.07627
45,2021-11-15 01:00:00,9025990.40154
46,2021-11-16 01:00:00,8493784.19674
47,2021-11-17 01:00:00,7951928.21159
48,2021-11-18 01:00:00,7866331.31146
49,2021-11-19 01:00:00,7115541.46349
50,2021-11-20 01:00:00,7286870.3703
51,2021-11-21 01:00:00,7404074.41072
52,2021-11-22 01:00:00,7098416.75061
53,2021-11-23 01:00:00,7002301.05799
54,2021-11-24 01:00:00,6467442.59619
55,2021-11-25 01:00:00,6071819.86599
56,2021-11-26 01:00:00,6251552.7614
57,2021-11-27 01:00:00,5597822.29236
58,2021-11-28 01:00:00,5616094.7808
59,2021-11-29 01:00:00,5882052.68947
60,2021-11-30 01:00:00,5964408.14564
61,2021-12-01 01:00:00,6264920.80329
62,2021-12-02 01:00:00,5942181.64357
63,2021-12-03 01:00:00,6281343.2684
64,2021-12-04 01:00:00,5653234.53464
65,2021-12-05 01:00:00,4917415.7414
66,2021-12-06 01:00:00,4688500.07422
67,2021-12-07 01:00:00,4867709.96713
68,2021-12-08 01:00:00,4873344.51728
69,2021-12-09 01:00:00,5051502.20016
70,2021-12-10 01:00:00,4516837.36839
71,2021-12-11 01:00:00,4286427.79772
72,2021-12-12 01:00:00,4439150.46588
73,2021-12-13 01:00:00,4411335.45879
74,2021-12-14 01:00:00,3964734.06166
75,2021-12-15 01:00:00,4162519.1338
76,2021-12-16 01:00:00,4235788.14994
77,2021-12-17 01:00:00,4090885.9102
78,2021-12-18 01:00:00,7256813.86218
79,2021-12-19 01:00:00,7715675.12987
80,2021-12-20 01:00:00,7674161.69408
81,2021-12-21 01:00:00,7609984.21598
82,2021-12-22 01:00:00,9012131.3717
83,2021-12-23 01:00:00,9988814.62197
84,2021-12-24 01:00:00,11075207.41962
85,2021-12-25 01:00:00,11257817.15877
86,2021-12-26 01:00:00,11004578.29992
87,2021-12-27 01:00:00,11525887.21459
88,2021-12-28 01:00:00,11817204.83263
89,2021-12-29 01:00:00,10137048.1891
90,2021-12-30 01:00:00,6353682.57468
91,2021-12-31 01:00:00,6738598.94641
92,2022-01-01 01:00:00,6696157.87066
93,2022-01-02 01:00:00,6798785.84107
94,2022-01-03 01:00:00,6970550.94271
95,2022-01-04 01:00:00,7038846.93038
96,2022-01-05 01:00:00,6987286.73576
97,2022-01-06 01:00:00,6262073.05793
98,2022-01-07 01:00:00,6127481.39812
99,2022-01-08 01:00:00,5917621.32976
100,2022-01-09 01:00:00,5711065.96852
101,2022-01-10 01:00:00,5775859.21942
102,2022-01-11 01:00:00,5542417.54902
103,2022-01-12 01:00:00,5905401.52815
104,2022-01-13 01:00:00,6096943.90803
105,2022-01-14 01:00:00,6203438.09553
106,2022-01-15 01:00:00,7161327.28023
107,2022-01-16 01:00:00,7609360.73598
108,2022-01-17 01:00:00,7960262.07789
109,2022-01-18 01:00:00,7945638.64418
110,2022-01-19 01:00:00,7715442.36034
111,2022-01-20 01:00:00,7172709.01424
112,2022-01-21 01:00:00,6873522.86902
113,2022-01-22 01:00:00,5947805.23631
114,2022-01-23 01:00:00,5081597.84722
115,2022-01-24 01:00:00,5153316.67307
116,2022-01-25 01:00:00,4913242.28166
117,2022-01-26 01:00:00,4924805.28072
118,2022-01-27 01:00:00,5336828.57664
119,2022-01-28 01:00:00,5507150.5993
120,2022-01-29 01:00:00,5656684.86968
121,2022-01-30 01:00:00,5895153.92014
122,2022-01-31 01:00:00,5597672.88588
123,2022-02-01 01:00:00,6213662.46798
124,2022-02-02 01:00:00,6206905.34045
125,2022-02-03 01:00:00,5851687.03881
126,2022-02-04 01:00:00,6321317.57399
127,2022-02-05 01:00:00,6321317.57399
128,2022-02-06 01:00:00,6569971.7907
129,2022-02-07 01:00:00,6745088.16975
130,2022-02-08 01:00:00,7300862.81821
131,2022-02-09 01:00:00,7354413.91754
132,2022-02-10 01:00:00,7474767.78321
133,2022-02-11 01:00:00,6917866.70552
134,2022-02-12 01:00:00,6608052.90571
135,2022-02-13 01:00:00,7589922.24909
136,2022-02-14 01:00:00,7762041.83983
137,2022-02-15 01:00:00,7890569.20088
138,2022-02-16 01:00:00,8490165.52268
139,2022-02-17 01:00:00,8280895.85016
140,2022-02-18 01:00:00,7961299.17808
141,2022-02-19 01:00:00,7723142.37131
142,2022-02-20 01:00:00,7680911.45339
143,2022-02-21 01:00:00,7237840.86049
144,2022-02-22 01:00:00,6675782.61926
145,2022-02-23 01:00:00,6866361.21368
146,2022-02-24 01:00:00,6760250.21223
147,2022-02-25 01:00:00,5904958.43721
148,2022-02-26 01:00:00,5975675.09218
149,2022-02-27 01:00:00,5873057.94474
150,2022-02-28 01:00:00,5913739.00985
151,2022-03-01 01:00:00,6575784.60612
152,2022-03-02 01:00:00,9869300.66673
153,2022-03-03 01:00:00,9529993.22001
