,date,totalLiquidityUSD
0,2021-02-10 01:00:00,9369781.63627
1,2021-02-11 01:00:00,45129795.19472
2,2021-02-12 01:00:00,45202851.00322
3,2021-02-13 01:00:00,49164548.51772
4,2021-02-14 01:00:00,39836020.00132
5,2021-02-15 01:00:00,46218009.84182
6,2021-02-16 01:00:00,57063247.04604
7,2021-02-17 01:00:00,67828372.16094
8,2021-02-18 01:00:00,106894676.10152
9,2021-02-19 01:00:00,229038931.70605
10,2021-02-20 01:00:00,240035717.397
11,2021-02-21 01:00:00,235072587.35586
12,2021-02-22 01:00:00,239152096.295
13,2021-02-23 01:00:00,210738634.3784
14,2021-02-24 01:00:00,165806360.85323
15,2021-02-25 01:00:00,175202862.9167
16,2021-02-26 01:00:00,169480585.73186
17,2021-02-27 01:00:00,163439250.29625
18,2021-02-28 01:00:00,167606910.79037
19,2021-03-01 01:00:00,165242289.88541
20,2021-03-02 01:00:00,185346868.26095
21,2021-03-03 01:00:00,188521941.12547
22,2021-03-04 01:00:00,166395353.04698
23,2021-03-05 01:00:00,160154062.35343
24,2021-03-06 01:00:00,156976879.87852
25,2021-03-07 01:00:00,162046608.35651
26,2021-03-08 01:00:00,171520131.78677
27,2021-03-09 01:00:00,147626554.07063
28,2021-03-10 01:00:00,207687313.32017
29,2021-03-11 01:00:00,209948639.38361
30,2021-03-12 01:00:00,237221486.45639
31,2021-03-13 01:00:00,223370304.24653
32,2021-03-14 01:00:00,240858940.53717
33,2021-03-15 01:00:00,234900303.04547
34,2021-03-16 01:00:00,229440072.18041
35,2021-03-17 01:00:00,248360809.80525
36,2021-03-18 01:00:00,249675570.00709
37,2021-03-19 01:00:00,238055992.68818
38,2021-03-20 01:00:00,253095172.61364
39,2021-03-21 01:00:00,234093500.96314
40,2021-03-22 01:00:00,228203069.06623
41,2021-03-23 01:00:00,216382352.07886
42,2021-03-24 01:00:00,207020172.04535
43,2021-03-25 01:00:00,196311646.30037
44,2021-03-26 01:00:00,191614006.86664
45,2021-03-27 01:00:00,203731742.92264
46,2021-03-28 01:00:00,201865082.30043
47,2021-03-30 01:00:00,182535389.88121
48,2021-03-31 01:00:00,183446441.77716
49,2021-04-01 01:00:00,178746964.82693
50,2021-04-02 01:00:00,187625361.30906
51,2021-04-03 01:00:00,201706022.03811
52,2021-04-04 01:00:00,197917120.87135
53,2021-04-05 01:00:00,203665612.37229
54,2021-04-06 01:00:00,214024904.92627
55,2021-04-07 01:00:00,214401725.45983
56,2021-04-08 01:00:00,211313894.76995
57,2021-04-09 01:00:00,205836912.27553
58,2021-04-10 01:00:00,215375080.25203
59,2021-04-11 01:00:00,216284960.95385
60,2021-04-12 01:00:00,221274680.3544
61,2021-04-13 01:00:00,231269878.39042
62,2021-04-14 01:00:00,234095650.24762
63,2021-04-15 01:00:00,253581507.97173
64,2021-04-16 01:00:00,252473100.93409
65,2021-04-17 01:00:00,236867516.69585
66,2021-04-18 01:00:00,237005029.71978
67,2021-04-19 01:00:00,206625531.31654
68,2021-04-20 01:00:00,202828494.05566
69,2021-04-21 01:00:00,205632111.54224
70,2021-04-22 01:00:00,202942899.01028
71,2021-04-23 01:00:00,193805468.92471
72,2021-04-24 01:00:00,182294879.27581
73,2021-04-25 01:00:00,179323723.12159
74,2021-04-26 01:00:00,158728540.32274
75,2021-04-27 01:00:00,206693719.52999
76,2021-04-28 01:00:00,222194445.5663
77,2021-04-29 01:00:00,227509850.55955
78,2021-04-30 01:00:00,232790932.05116
79,2021-05-01 01:00:00,270637312.34926
80,2021-05-02 01:00:00,287867292.95555
81,2021-05-03 01:00:00,285405292.44383
82,2021-05-04 01:00:00,316749907.21839
83,2021-05-05 01:00:00,300525962.81563
84,2021-05-06 01:00:00,325139479.47446
85,2021-05-07 01:00:00,336322784.48759
86,2021-05-08 01:00:00,345902226.27458
87,2021-05-09 01:00:00,360833127.38672
88,2021-05-10 01:00:00,366305683.39154
89,2021-05-11 01:00:00,342139607.98871
90,2021-05-12 01:00:00,359225954.03142
91,2021-05-13 01:00:00,358016131.29916
92,2021-05-14 01:00:00,319708351.87208
93,2021-05-15 01:00:00,352975536.1377
94,2021-05-16 01:00:00,335585698.05963
95,2021-05-17 01:00:00,331251965.37123
96,2021-05-18 01:00:00,311059503.45521
97,2021-05-19 01:00:00,341578511.61871
98,2021-05-20 01:00:00,246885925.83684
99,2021-05-21 01:00:00,250155992.77083
100,2021-05-22 01:00:00,209445492.02443
101,2021-05-23 01:00:00,194402359.76136
102,2021-05-24 01:00:00,158420856.59505
103,2021-05-25 01:00:00,201266957.81039
104,2021-05-26 01:00:00,202381689.22884
105,2021-05-27 01:00:00,214845165.61647
106,2021-05-28 01:00:00,204168477.457
107,2021-05-29 01:00:00,169943897.61409
108,2021-05-30 01:00:00,170506099.7153
109,2021-05-31 01:00:00,176998762.03742
110,2021-06-01 01:00:00,193334736.4664
111,2021-06-02 01:00:00,189893815.79988
112,2021-06-03 01:00:00,198850027.4959
113,2021-06-04 01:00:00,215415424.32165
114,2021-06-05 01:00:00,198140898.31182
115,2021-06-06 01:00:00,184782363.97113
116,2021-06-07 01:00:00,188306115.95037
117,2021-06-08 01:00:00,186073379.77766
118,2021-06-09 01:00:00,175704083.11255
119,2021-06-10 01:00:00,181781946.74308
120,2021-06-11 01:00:00,170589085.14599
121,2021-06-12 01:00:00,160824542.10728
122,2021-06-13 01:00:00,163030390.55716
123,2021-06-14 01:00:00,175361482.72781
124,2021-06-15 01:00:00,180219997.20808
125,2021-06-16 01:00:00,182247153.83612
126,2021-06-17 01:00:00,176195888.95875
127,2021-06-18 01:00:00,178194465.3815
128,2021-06-19 01:00:00,166619636.21924
129,2021-06-20 01:00:00,169583328.37819
130,2021-06-21 01:00:00,173923469.52929
131,2021-06-22 01:00:00,143172845.6068
132,2021-06-23 01:00:00,137292092.50139
133,2021-06-24 01:00:00,145184216.6589
134,2021-06-25 01:00:00,148692595.53251
135,2021-06-26 01:00:00,133576821.96965
136,2021-06-27 01:00:00,135337488.70286
137,2021-06-28 01:00:00,142179718.2533
138,2021-06-29 01:00:00,149431884.04827
139,2021-06-30 01:00:00,156929608.37006
140,2021-07-01 01:00:00,158085512.61722
141,2021-07-02 01:00:00,156312669.17468
142,2021-07-03 01:00:00,154054522.1878
143,2021-07-04 01:00:00,156725212.47585
144,2021-07-05 01:00:00,168998335.14483
145,2021-07-06 01:00:00,164572840.58623
146,2021-07-07 01:00:00,177326861.54467
147,2021-07-08 01:00:00,175332303.59333
148,2021-07-09 01:00:00,158708153.74245
149,2021-07-10 01:00:00,168158203.38852
150,2021-07-11 01:00:00,160179181.26688
151,2021-07-12 01:00:00,164466860.79517
152,2021-07-13 01:00:00,157691074.18059
153,2021-07-14 01:00:00,148621117.86454
154,2021-07-15 02:00:00,142321884.6277
155,2021-07-16 02:00:00,137704849.47524
156,2021-07-17 02:00:00,138946144.26221
157,2021-07-18 02:00:00,137269889.32578
158,2021-07-19 02:00:00,131148105.06417
159,2021-07-20 02:00:00,116094324.01631
160,2021-07-21 02:00:00,126327288.47798
161,2021-07-22 02:00:00,130364911.66431
162,2021-07-23 02:00:00,132272094.33854
163,2021-07-24 02:00:00,134956350.8701
164,2021-07-25 02:00:00,135768466.51816
165,2021-07-26 02:00:00,138894483.26654
166,2021-07-27 02:00:00,141417829.05658
167,2021-07-28 02:00:00,143898414.9958
168,2021-07-29 02:00:00,146517324.80668
169,2021-07-30 02:00:00,152290264.63174
170,2021-07-31 02:00:00,158208648.10503
171,2021-08-01 02:00:00,153104167.49312
172,2021-08-02 02:00:00,154690507.64684
173,2021-08-03 02:00:00,150510582.08429
174,2021-08-04 02:00:00,158273376.26657
175,2021-08-05 02:00:00,163034475.53592
176,2021-08-06 02:00:00,169484746.29366
177,2021-08-07 02:00:00,180434414.35694
178,2021-08-08 02:00:00,169849397.92022
179,2021-08-09 02:00:00,178809347.33794
180,2021-08-10 02:00:00,185061621.06054
181,2021-08-11 02:00:00,187157065.79122
182,2021-08-12 02:00:00,190065466.27168
183,2021-08-13 02:00:00,206834540.03444
184,2021-08-14 02:00:00,204368354.50467
185,2021-08-15 02:00:00,204615312.04
186,2021-08-16 02:00:00,202665923.17057
187,2021-08-17 02:00:00,212505055.94415
188,2021-08-18 02:00:00,255012647.98508
189,2021-08-19 02:00:00,280815688.47992
190,2021-08-20 02:00:00,323617575.67477
191,2021-08-21 02:00:00,363538675.13604
192,2021-08-22 02:00:00,376359721.93908
193,2021-08-23 02:00:00,319723959.45078
194,2021-08-24 02:00:00,381476153.71775
195,2021-08-25 02:00:00,346708364.03998
196,2021-08-26 02:00:00,287623432.51118
197,2021-08-27 02:00:00,356034785.3953
198,2021-08-28 02:00:00,355552961.39747
199,2021-08-29 02:00:00,344804452.60488
200,2021-08-30 02:00:00,283621036.49351
201,2021-08-31 02:00:00,277340846.54913
202,2021-09-01 02:00:00,300189578.48205
203,2021-09-02 02:00:00,310527933.51261
204,2021-09-03 02:00:00,292258207.8241
205,2021-09-04 02:00:00,297573683.1639
206,2021-09-05 02:00:00,306499914.42516
207,2021-09-06 02:00:00,299716441.80778
208,2021-09-07 02:00:00,236074494.73404
209,2021-09-08 02:00:00,238398623.96705
210,2021-09-09 02:00:00,257658950.70151
211,2021-09-10 02:00:00,279584606.44099
212,2021-09-11 02:00:00,327867587.33567
213,2021-09-12 02:00:00,334703574.80333
214,2021-09-13 02:00:00,315917221.09479
215,2021-09-14 02:00:00,323099644.91403
216,2021-09-15 02:00:00,359193245.85479
217,2021-09-16 02:00:00,393705737.58899
218,2021-09-17 02:00:00,391113366.00463
219,2021-09-18 02:00:00,362926284.9322
220,2021-09-19 02:00:00,351494519.75357
221,2021-09-20 02:00:00,289301213.1532
222,2021-09-21 02:00:00,269544432.73704
223,2021-09-22 02:00:00,317772605.93399
224,2021-09-23 02:00:00,317073231.38053
225,2021-09-24 02:00:00,299854899.42384
226,2021-09-25 02:00:00,293497659.38383
227,2021-09-26 02:00:00,297234130.44898
228,2021-09-27 02:00:00,287934185.10967
229,2021-09-28 02:00:00,280211140.5852
230,2021-09-29 02:00:00,283627760.5494
231,2021-09-30 02:00:00,279786832.55009
232,2021-10-01 02:00:00,283434781.41647
233,2021-10-02 02:00:00,292095135.34663
234,2021-10-03 02:00:00,295395257.59738
235,2021-10-04 02:00:00,293294566.16114
236,2021-10-05 02:00:00,296189161.81582
237,2021-10-06 02:00:00,296534047.20877
238,2021-10-07 02:00:00,262606064.35288
239,2021-10-08 02:00:00,270347018.48539
240,2021-10-09 02:00:00,258981673.73594
241,2021-10-10 02:00:00,258156432.6277
242,2021-10-11 02:00:00,248262982.91635
243,2021-10-12 02:00:00,234168755.25891
244,2021-10-13 02:00:00,241673403.7676
245,2021-10-14 02:00:00,237646970.60421
246,2021-10-15 02:00:00,237935222.78882
247,2021-10-16 02:00:00,235686925.5637
248,2021-10-17 02:00:00,240645171.65094
249,2021-10-18 02:00:00,234115976.20778
250,2021-10-19 02:00:00,226553024.37703
251,2021-10-20 02:00:00,229219920.72497
252,2021-10-21 02:00:00,248113421.62128
253,2021-10-22 02:00:00,256968847.07135
254,2021-10-23 02:00:00,257296264.52606
255,2021-10-24 02:00:00,259952907.04067
256,2021-10-25 02:00:00,259103512.46767
257,2021-10-26 02:00:00,282073591.8208
258,2021-10-27 02:00:00,265195618.6863
259,2021-10-28 02:00:00,248325485.61753
260,2021-10-29 02:00:00,260613972.1457
261,2021-10-30 02:00:00,263649214.46139
262,2021-10-31 02:00:00,262751133.59927
263,2021-11-01 01:00:00,262098659.018
264,2021-11-02 01:00:00,265981013.65637
265,2021-11-03 01:00:00,284932055.4901
266,2021-11-04 01:00:00,311920915.39938
267,2021-11-05 01:00:00,317679618.66114
268,2021-11-06 01:00:00,311213263.16501
269,2021-11-07 01:00:00,346857152.01679
270,2021-11-08 01:00:00,366540121.99165
271,2021-11-09 01:00:00,374965589.40856
272,2021-11-10 01:00:00,376247064.79329
273,2021-11-11 01:00:00,368645219.87052
274,2021-11-12 01:00:00,389238452.45901
275,2021-11-13 01:00:00,381765315.01878
276,2021-11-14 01:00:00,413430153.92406
277,2021-11-15 01:00:00,416595715.4613
278,2021-11-16 01:00:00,389223205.556
279,2021-11-17 01:00:00,412455382.11324
280,2021-11-18 01:00:00,442768601.32045
281,2021-11-19 01:00:00,416156188.0977
282,2021-11-20 01:00:00,462882301.87013
283,2021-11-21 01:00:00,471469251.54224
284,2021-11-22 01:00:00,483749257.16342
285,2021-11-23 01:00:00,483041315.4032
286,2021-11-24 01:00:00,429202642.16806
287,2021-11-25 01:00:00,420515258.56679
288,2021-11-26 01:00:00,418772946.88528
289,2021-11-27 01:00:00,387828675.21076
290,2021-11-28 01:00:00,409296955.38313
291,2021-11-29 01:00:00,414809615.91232
292,2021-11-30 01:00:00,439881017.81133
293,2021-12-01 01:00:00,431371380.10157
294,2021-12-02 01:00:00,417595713.97073
295,2021-12-03 01:00:00,406518325.29187
296,2021-12-04 01:00:00,413777450.91713
297,2021-12-05 01:00:00,359128292.26338
298,2021-12-06 01:00:00,352552652.40132
299,2021-12-07 01:00:00,363034260.85043
300,2021-12-08 01:00:00,354342564.84483
301,2021-12-09 01:00:00,373150706.05116
302,2021-12-10 01:00:00,346000645.59448
303,2021-12-11 01:00:00,330703694.90649
304,2021-12-12 01:00:00,346370940.67211
305,2021-12-13 01:00:00,353798718.58203
306,2021-12-14 01:00:00,324805264.45615
307,2021-12-15 01:00:00,342038024.09071
308,2021-12-16 01:00:00,373869782.67797
309,2021-12-17 01:00:00,345862553.644
310,2021-12-18 01:00:00,361956469.49595
311,2021-12-19 01:00:00,372011036.83787
312,2021-12-20 01:00:00,381363626.202
313,2021-12-21 01:00:00,391945901.25313
314,2021-12-22 01:00:00,413458434.87003
315,2021-12-23 01:00:00,407298709.30621
316,2021-12-24 01:00:00,404459593.96155
317,2021-12-25 01:00:00,365720008.66076
318,2021-12-26 01:00:00,372852954.24746
319,2021-12-27 01:00:00,367320157.1049
320,2021-12-28 01:00:00,353048780.2926
321,2021-12-29 01:00:00,336695959.68483
322,2021-12-30 01:00:00,316533550.99575
323,2021-12-31 01:00:00,312721348.0075
324,2022-01-01 01:00:00,325361702.38485
325,2022-01-02 01:00:00,339231490.20057
