,date,totalLiquidityUSD
0,2022-10-04 02:00:00,7673120.7303
1,2022-10-05 02:00:00,4107585.41973
2,2022-10-06 02:00:00,5943777.50662
3,2022-10-07 02:00:00,6526700.21066
4,2022-10-08 02:00:00,6669838.24055
5,2022-10-09 02:00:00,6375063.15831
6,2022-10-10 02:00:00,6126345.26831
7,2022-10-11 02:00:00,2962545.01366
8,2022-10-12 02:00:00,2932810.07166
9,2022-10-13 02:00:00,1822819.97027
10,2022-10-14 02:00:00,3691078.55808
11,2022-10-15 02:00:00,10408128.18385
12,2022-10-16 02:00:00,12977275.11067
13,2022-10-17 02:00:00,17086026.7372
14,2022-10-18 02:00:00,10141044.99435
15,2022-10-19 02:00:00,5315555.66
16,2022-10-20 02:00:00,10529597.57455
17,2022-10-21 02:00:00,7137525.98837
18,2022-10-22 02:00:00,7964135.25319
19,2022-10-23 02:00:00,9461585.62858
20,2022-10-24 02:00:00,11067347.6131
21,2022-10-25 02:00:00,10627890.43414
22,2022-10-26 02:00:00,12459660.8801
23,2022-10-27 02:00:00,13140459.76656
24,2022-10-28 02:00:00,10166779.45115
25,2022-10-29 02:00:00,10386385.45721
26,2022-10-30 02:00:00,10316141.4479
27,2022-10-31 01:00:00,13408970.94436
28,2022-11-01 01:00:00,14990408.12354
29,2022-11-02 01:00:00,16494151.02544
30,2022-11-03 01:00:00,17187338.71912
31,2022-11-04 01:00:00,17406471.23225
32,2022-11-05 01:00:00,17871465.98539
33,2022-11-06 01:00:00,22549846.21114
34,2022-11-07 01:00:00,20645623.52745
35,2022-11-08 01:00:00,9826544.50432
36,2022-11-09 01:00:00,5308309.30524
37,2022-11-10 01:00:00,2663008.13561
38,2022-11-11 01:00:00,4184935.5907
39,2022-11-12 01:00:00,2499995.00526
40,2022-11-13 01:00:00,8987888.4853
41,2022-11-14 01:00:00,8505256.17686
42,2022-11-15 01:00:00,10103839.45596
43,2022-11-16 01:00:00,16960446.47048
44,2022-11-17 01:00:00,17453429.3103
45,2022-11-18 01:00:00,17436404.99725
46,2022-11-19 01:00:00,16790028.74421
47,2022-11-20 01:00:00,16774042.41181
48,2022-11-21 01:00:00,16586879.91907
49,2022-11-22 01:00:00,15610467.40634
50,2022-11-23 01:00:00,15724891.8809
51,2022-11-24 01:00:00,15924281.01129
52,2022-11-25 01:00:00,15848011.69198
53,2022-11-26 01:00:00,18378665.86282
54,2022-11-27 01:00:00,18377277.64906
55,2022-11-28 01:00:00,23326371.58105
56,2022-11-29 01:00:00,22319907.98699
57,2022-11-30 01:00:00,22013893.03692
58,2022-12-01 01:00:00,22187622.44417
59,2022-12-02 01:00:00,22560620.81464
60,2022-12-03 01:00:00,22716356.24815
61,2022-12-04 01:00:00,24299688.74855
62,2022-12-05 01:00:00,24728175.82715
63,2022-12-06 01:00:00,20698713.69599
64,2022-12-07 01:00:00,19373647.60754
65,2022-12-08 01:00:00,19595399.32677
66,2022-12-09 01:00:00,19657880.94757
67,2022-12-10 01:00:00,30119008.20703
68,2022-12-11 01:00:00,28425915.04303
69,2022-12-12 01:00:00,28760694.24855
70,2022-12-13 01:00:00,32018657.33253
71,2022-12-14 01:00:00,32360021.94499
72,2022-12-15 01:00:00,30484021.00886
73,2022-12-16 01:00:00,26267868.34239
74,2022-12-17 01:00:00,25489309.67253
75,2022-12-18 01:00:00,22973648.27257
76,2022-12-19 01:00:00,23226092.08002
77,2022-12-20 01:00:00,20164996.04133
78,2022-12-21 01:00:00,18551350.31515
79,2022-12-22 01:00:00,17501709.02366
80,2022-12-23 01:00:00,16984688.82257
81,2022-12-24 01:00:00,16965480.96701
82,2022-12-25 01:00:00,16521095.00431
83,2022-12-26 01:00:00,19183161.83392
84,2022-12-27 01:00:00,19654467.07298
85,2022-12-28 01:00:00,20654597.96131
86,2022-12-29 01:00:00,19817140.19437
87,2022-12-30 01:00:00,19817039.35873
88,2022-12-31 01:00:00,20686907.25754
89,2023-01-01 01:00:00,18490998.82468
90,2023-01-02 01:00:00,18456183.42385
91,2023-01-03 01:00:00,18457992.3071
92,2023-01-04 01:00:00,17862483.27204
93,2023-01-05 01:00:00,17877439.03527
94,2023-01-06 01:00:00,17878515.57848
95,2023-01-07 01:00:00,15577167.51089
96,2023-01-08 01:00:00,15056521.91817
97,2023-01-09 01:00:00,14938847.26175
98,2023-01-10 01:00:00,14953788.11101
99,2023-01-11 01:00:00,14921265.74531
100,2023-01-12 01:00:00,15047582.90962
101,2023-01-13 01:00:00,14943085.80608
102,2023-01-14 01:00:00,14120497.15023
103,2023-01-15 01:00:00,14119480.90113
104,2023-01-16 01:00:00,13677797.65269
105,2023-01-17 01:00:00,13069774.38623
106,2023-01-18 01:00:00,13354346.31338
107,2023-01-19 01:00:00,13357592.7928
108,2023-01-20 01:00:00,13057516.19282
109,2023-01-21 01:00:00,11528153.88648
110,2023-01-22 01:00:00,9846142.83019
111,2023-01-23 01:00:00,9836316.34034
112,2023-01-24 01:00:00,9826489.85049
113,2023-01-25 01:00:00,9129139.97776
114,2023-01-26 01:00:00,9655204.36303
115,2023-01-27 01:00:00,9389991.43228
116,2023-01-28 01:00:00,9033834.12159
117,2023-01-29 01:00:00,9042867.95571
118,2023-01-30 01:00:00,8737205.61165
119,2023-01-31 01:00:00,8748462.37443
120,2023-02-01 01:00:00,8747443.59135
121,2023-02-02 01:00:00,8315951.31072
122,2023-02-03 01:00:00,8115751.31072
123,2023-02-04 01:00:00,7853114.68515
124,2023-02-05 01:00:00,7841403.397
125,2023-02-06 01:00:00,7155013.48629
126,2023-02-07 01:00:00,5258004.81766
127,2023-02-08 01:00:00,5244883.443
128,2023-02-09 01:00:00,4851515.32374
129,2023-02-10 01:00:00,4845454.48306
130,2023-02-11 01:00:00,4634161.78178
131,2023-02-12 01:00:00,4634161.78178
132,2023-02-13 01:00:00,4613094.88232
133,2023-02-14 01:00:00,4632672.58727
134,2023-02-15 01:00:00,4633154.43533
135,2023-02-16 01:00:00,4627316.0117
136,2023-02-17 01:00:00,4612321.10642
137,2023-02-18 01:00:00,4219473.20319
138,2023-02-19 01:00:00,4217532.24552
139,2023-02-20 01:00:00,3419862.42472
140,2023-02-21 01:00:00,3415212.46683
141,2023-02-22 01:00:00,3419778.36864
142,2023-02-23 01:00:00,3419402.15201
143,2023-02-24 01:00:00,3416833.61849
144,2023-02-25 01:00:00,3256518.11256
145,2023-02-26 01:00:00,3207463.68047
146,2023-02-27 01:00:00,3205923.01839
147,2023-02-28 01:00:00,3205923.01839
148,2023-03-01 01:00:00,3218158.12194
149,2023-03-02 01:00:00,3201139.4596
150,2023-03-03 01:00:00,3201819.5959
151,2023-03-04 01:00:00,2965883.5
152,2023-03-05 01:00:00,2964785.5905
153,2023-03-06 01:00:00,2961823.76673
154,2023-03-07 01:00:00,2961823.76673
155,2023-03-08 01:00:00,2967747.41427
156,2023-03-09 01:00:00,2961823.76673
157,2023-03-10 01:00:00,2967747.41427
158,2023-03-11 01:00:00,2982812.08872
159,2023-03-12 01:00:00,2876300.54507
160,2023-03-13 01:00:00,2921366.8443
161,2023-03-14 01:00:00,2938098.77667
162,2023-03-15 01:00:00,2948221.35928
163,2023-03-16 01:00:00,2951084.60629
164,2023-03-17 01:00:00,2951084.60629
165,2023-03-18 01:00:00,1767624.83744
166,2023-03-19 01:00:00,1769283.09013
167,2023-03-20 01:00:00,1763496.6394
168,2023-03-21 01:00:00,1768776.56946
169,2023-03-22 01:00:00,1765256.61609
170,2023-03-23 01:00:00,1768776.56946
171,2023-03-24 01:00:00,1759383.23283
172,2023-03-25 01:00:00,1791446.34347
173,2023-03-26 01:00:00,1794808.43347
174,2023-03-27 02:00:00,1781665.5165
175,2023-03-28 02:00:00,1781535.40626
176,2023-03-29 02:00:00,1783993.85659
177,2023-03-30 02:00:00,1783993.85659
178,2023-03-31 02:00:00,1787558.27988
179,2023-04-01 02:00:00,1757408.24993
180,2023-04-02 02:00:00,1764106.79779
181,2023-04-03 02:00:00,1764106.79779
182,2023-04-04 02:00:00,1764004.90187
183,2023-04-05 02:00:00,1760533.28384
184,2023-04-06 02:00:00,1761726.36218
185,2023-04-07 02:00:00,1759927.58932
186,2023-04-08 02:00:00,2262579.95111
