,date,totalLiquidityUSD
0,2020-09-12 02:00:00,41.33625
1,2020-09-13 02:00:00,41.34237
2,2020-09-14 02:00:00,41.25129
3,2020-09-15 02:00:00,41.42522
4,2020-09-16 02:00:00,41.33417
5,2020-09-17 02:00:00,43.3921
6,2020-09-18 02:00:00,9614.51981
7,2020-09-19 02:00:00,510401.85881
8,2020-09-20 02:00:00,1865563.77952
9,2020-09-21 02:00:00,2370183.1027
10,2020-09-22 02:00:00,2011924.77186
11,2020-09-23 02:00:00,2819313.95336
12,2020-09-24 02:00:00,4488490.98063
13,2020-09-25 02:00:00,4136909.63811
14,2020-09-26 02:00:00,4334459.68756
15,2020-09-27 02:00:00,4306449.14817
16,2020-09-28 02:00:00,4750265.06334
17,2020-09-29 02:00:00,4682327.49523
18,2020-09-30 02:00:00,7622410.82681
19,2020-10-01 02:00:00,8015722.43196
20,2020-10-02 02:00:00,8852528.35022
21,2020-10-03 02:00:00,10689810.95494
22,2020-10-04 02:00:00,11924695.42707
23,2020-10-05 02:00:00,13794313.82046
24,2020-10-06 02:00:00,15123621.0355
25,2020-10-07 02:00:00,16067843.34409
26,2020-10-08 02:00:00,16117563.30222
27,2020-10-09 02:00:00,15442928.85463
28,2020-10-10 02:00:00,15246875.68186
29,2020-10-11 02:00:00,16129491.05289
30,2020-10-12 02:00:00,15508889.36801
31,2020-10-13 02:00:00,15610597.42455
32,2020-10-14 02:00:00,14050756.91234
33,2020-10-15 02:00:00,10437682.86998
34,2020-10-16 02:00:00,6195965.3479
35,2020-10-17 02:00:00,7018265.25579
36,2020-10-18 02:00:00,3877619.62995
37,2020-10-19 02:00:00,3967674.4502
38,2020-10-20 02:00:00,4725284.15208
39,2020-10-21 02:00:00,5347386.93926
40,2020-10-22 02:00:00,5519560.52401
41,2020-10-23 02:00:00,5512859.08604
42,2020-10-24 02:00:00,5586238.43628
43,2020-10-25 02:00:00,5637981.70695
44,2020-10-26 01:00:00,5669894.7372
45,2020-10-27 01:00:00,3820982.95852
46,2020-10-28 01:00:00,2994022.95784
47,2020-10-29 01:00:00,2964163.10522
48,2020-10-30 01:00:00,3226715.49473
49,2020-10-31 01:00:00,3054031.28627
50,2020-11-01 01:00:00,2812640.46365
51,2020-11-02 01:00:00,2672360.89377
52,2020-11-03 01:00:00,2786876.82175
53,2020-11-04 01:00:00,2339711.70493
54,2020-11-05 01:00:00,2295872.85399
55,2020-11-06 01:00:00,2171646.08256
56,2020-11-07 01:00:00,2144343.70988
57,2020-11-08 01:00:00,2029817.24165
58,2020-11-09 01:00:00,1802168.07079
59,2020-11-10 01:00:00,1727460.83412
60,2020-11-11 01:00:00,1600228.45902
61,2020-11-12 01:00:00,1547301.59104
62,2020-11-13 01:00:00,1534536.05161
63,2020-11-14 01:00:00,1544984.00383
64,2020-11-15 01:00:00,1495682.91718
65,2020-11-16 01:00:00,1513544.34684
66,2020-11-17 01:00:00,1471842.416
67,2020-11-18 01:00:00,1327805.91185
68,2020-11-19 01:00:00,1324846.77924
69,2020-11-20 01:00:00,1228302.81032
70,2020-11-21 01:00:00,1205331.80602
71,2020-11-22 01:00:00,1173853.5443
72,2020-11-23 01:00:00,1155336.20526
73,2020-11-24 01:00:00,912442.76866
74,2020-11-25 01:00:00,896442.24039
75,2020-11-26 01:00:00,1238172.84529
