,date,totalLiquidityUSD
0,2022-06-15 02:00:00,1050.74088
1,2022-06-16 02:00:00,1082.85151
2,2022-06-17 02:00:00,936.28403
3,2022-06-18 02:00:00,2088.15615
4,2022-06-19 02:00:00,1914.55814
5,2022-06-20 02:00:00,2214.26546
6,2022-06-21 02:00:00,2357.73593
7,2022-06-22 02:00:00,2567.04249
8,2022-06-23 02:00:00,2590.44293
9,2022-06-24 02:00:00,2909.48977
10,2022-06-25 02:00:00,3134.47298
11,2022-06-26 02:00:00,3172.6743
12,2022-06-27 02:00:00,3134.65334
13,2022-06-28 02:00:00,3246.59435
14,2022-06-29 02:00:00,3132.21831
15,2022-06-30 02:00:00,2894.19551
16,2022-07-01 02:00:00,2945.96351
17,2022-07-02 02:00:00,3162.43684
18,2022-07-03 02:00:00,3146.7685
19,2022-07-04 02:00:00,3199.85309
20,2022-07-05 02:00:00,3484.60605
21,2022-07-06 02:00:00,1072.73119
22,2022-07-07 02:00:00,4542.85404
23,2022-07-08 02:00:00,4619.81673
24,2022-07-09 02:00:00,60735.17572
25,2022-07-10 02:00:00,70621.30212
26,2022-07-11 02:00:00,63425.94971
27,2022-07-12 02:00:00,68100.17065
28,2022-07-13 02:00:00,45147.24943
29,2022-07-14 02:00:00,47627.59705
30,2022-07-15 02:00:00,70020.91687
31,2022-07-16 02:00:00,98600.51119
32,2022-07-17 02:00:00,120609.4915
33,2022-07-18 02:00:00,123740.70153
34,2022-07-19 02:00:00,152291.25326
35,2022-07-20 02:00:00,147488.63581
36,2022-07-21 02:00:00,203273.1375
37,2022-07-22 02:00:00,203888.66311
38,2022-07-23 02:00:00,210670.50283
39,2022-07-24 02:00:00,300368.28913
40,2022-07-25 02:00:00,337971.33991
41,2022-07-26 02:00:00,268270.90131
42,2022-07-27 02:00:00,240618.51681
43,2022-07-28 02:00:00,300949.75247
44,2022-07-29 02:00:00,310686.57381
45,2022-07-30 02:00:00,327821.14021
46,2022-07-31 02:00:00,308834.69785
47,2022-08-01 02:00:00,298283.23025
48,2022-08-02 02:00:00,351671.49746
49,2022-08-03 02:00:00,359809.44711
50,2022-08-04 02:00:00,628236.55085
51,2022-08-05 02:00:00,844922.63889
52,2022-08-06 02:00:00,1562383.44753
53,2022-08-07 02:00:00,1654435.9993
54,2022-08-08 02:00:00,1885470.67045
55,2022-08-09 02:00:00,1863592.10215
56,2022-08-10 02:00:00,1638571.77189
57,2022-08-11 02:00:00,1614485.26422
58,2022-08-12 02:00:00,1641961.74677
59,2022-08-13 02:00:00,2003067.42923
60,2022-08-14 02:00:00,4490850.48671
61,2022-08-15 02:00:00,4799612.37737
62,2022-08-16 02:00:00,5959314.98206
63,2022-08-17 02:00:00,6565224.87889
64,2022-08-18 02:00:00,6262729.45071
65,2022-08-19 02:00:00,6129869.17791
66,2022-08-20 02:00:00,5183592.74319
67,2022-08-21 02:00:00,5359546.99738
68,2022-08-22 02:00:00,5647726.52584
69,2022-08-23 02:00:00,5718760.8554
70,2022-08-24 02:00:00,6237482.4179
71,2022-08-25 02:00:00,6046573.05645
72,2022-08-26 02:00:00,6025261.69526
73,2022-08-27 02:00:00,5642214.63312
74,2022-08-28 02:00:00,5590655.48957
75,2022-08-29 02:00:00,5257939.32217
76,2022-08-30 02:00:00,5533179.06876
77,2022-08-31 02:00:00,5735427.77417
78,2022-09-01 02:00:00,5804545.22501
79,2022-09-02 02:00:00,6160620.11972
80,2022-09-03 02:00:00,5792716.56578
81,2022-09-04 02:00:00,5936331.24844
82,2022-09-05 02:00:00,6059913.90972
83,2022-09-06 02:00:00,6340055.07892
84,2022-09-07 02:00:00,6132727.22314
85,2022-09-08 02:00:00,6399746.83235
86,2022-09-09 02:00:00,6422153.08595
87,2022-09-10 02:00:00,6725830.87274
88,2022-09-11 02:00:00,6803147.15233
89,2022-09-12 02:00:00,7366532.29711
90,2022-09-13 02:00:00,7227939.22521
91,2022-09-14 02:00:00,5803469.84712
92,2022-09-15 02:00:00,5918754.68599
93,2022-09-16 02:00:00,5535463.07623
94,2022-09-17 02:00:00,5645552.30136
95,2022-09-18 02:00:00,5885490.87521
96,2022-09-19 02:00:00,5455510.98916
97,2022-09-20 02:00:00,6099532.19671
98,2022-09-21 02:00:00,5556609.18561
99,2022-09-22 02:00:00,5307013.12126
100,2022-09-23 02:00:00,5667397.8399
101,2022-09-24 02:00:00,5592792.43385
102,2022-09-25 02:00:00,5425457.24527
103,2022-09-26 02:00:00,5334262.48337
104,2022-09-27 02:00:00,6060500.59326
105,2022-09-28 02:00:00,5981367.56483
106,2022-09-29 02:00:00,5996552.57858
107,2022-09-30 02:00:00,6068438.79448
108,2022-10-01 02:00:00,5851958.23114
109,2022-10-02 02:00:00,5671061.67671
110,2022-10-03 02:00:00,5525127.19713
111,2022-10-04 02:00:00,5715240.60834
112,2022-10-05 02:00:00,5912738.9951
113,2022-10-06 02:00:00,5927087.44679
114,2022-10-07 02:00:00,5842012.18147
115,2022-10-08 02:00:00,6175358.67331
116,2022-10-09 02:00:00,6157124.32017
117,2022-10-10 02:00:00,5988570.11534
118,2022-10-11 02:00:00,5352316.04594
119,2022-10-12 02:00:00,5333156.77417
120,2022-10-13 02:00:00,5517186.19698
121,2022-10-14 02:00:00,5841309.05186
122,2022-10-15 02:00:00,6079381.02056
123,2022-10-16 02:00:00,5821535.80117
124,2022-10-17 02:00:00,5743525.91422
125,2022-10-18 02:00:00,5625338.25314
126,2022-10-19 02:00:00,5048565.90613
127,2022-10-20 02:00:00,4967007.34964
128,2022-10-21 02:00:00,4590675.43024
129,2022-10-22 02:00:00,4596484.17493
130,2022-10-23 02:00:00,4695538.22603
131,2022-10-24 02:00:00,4815457.44613
132,2022-10-25 02:00:00,4725345.15777
133,2022-10-26 02:00:00,5103411.93885
134,2022-10-27 02:00:00,5656475.44441
135,2022-10-28 02:00:00,5409510.35411
136,2022-10-29 02:00:00,5415149.84983
137,2022-10-30 02:00:00,5470839.23973
138,2022-10-31 01:00:00,5249405.97711
139,2022-11-01 01:00:00,5414997.08467
140,2022-11-02 01:00:00,5223441.45621
141,2022-11-03 01:00:00,4904487.2496
142,2022-11-04 01:00:00,4957169.23333
143,2022-11-05 01:00:00,5336573.80834
144,2022-11-06 01:00:00,5329200.38271
145,2022-11-07 01:00:00,5111592.28758
146,2022-11-08 01:00:00,5131905.83969
147,2022-11-09 01:00:00,4305707.32595
148,2022-11-10 01:00:00,3356999.38346
149,2022-11-11 01:00:00,3891169.96525
150,2022-11-12 01:00:00,3868763.50784
151,2022-11-13 01:00:00,3368587.37537
152,2022-11-14 01:00:00,3311866.3156
153,2022-11-15 01:00:00,3372576.47133
154,2022-11-16 01:00:00,3354047.26285
155,2022-11-17 01:00:00,3290893.50752
156,2022-11-18 01:00:00,3316405.59602
157,2022-11-19 01:00:00,3244710.86095
158,2022-11-20 01:00:00,3336147.99304
159,2022-11-21 01:00:00,3119186.89095
160,2022-11-22 01:00:00,2991201.94166
161,2022-11-23 01:00:00,3078254.65392
162,2022-11-24 01:00:00,3221830.14271
163,2022-11-25 01:00:00,3249373.66304
164,2022-11-26 01:00:00,3265040.38336
165,2022-11-27 01:00:00,3291400.03428
166,2022-11-28 01:00:00,3059514.25788
167,2022-11-29 01:00:00,2955669.36097
168,2022-11-30 01:00:00,3100689.49121
169,2022-12-01 01:00:00,3241119.18656
170,2022-12-02 01:00:00,3277438.57607
171,2022-12-03 01:00:00,3303883.67595
