,date,totalLiquidityUSD
0,2019-12-17 01:00:00,2464.20647
1,2019-12-18 01:00:00,8133.34608
2,2019-12-19 01:00:00,15673.82873
3,2019-12-20 01:00:00,50176.31214
4,2019-12-21 01:00:00,43892.87898
5,2019-12-22 01:00:00,50596.75328
6,2019-12-23 01:00:00,56720.12513
7,2019-12-24 01:00:00,57305.40753
8,2019-12-25 01:00:00,58836.79089
9,2019-12-26 01:00:00,78063.36638
10,2019-12-27 01:00:00,84162.81899
11,2019-12-28 01:00:00,86552.09375
12,2019-12-29 01:00:00,95782.68901
13,2019-12-30 01:00:00,121643.1556
14,2019-12-31 01:00:00,157950.88687
15,2020-01-01 01:00:00,143131.43034
16,2020-01-02 01:00:00,178523.83302
17,2020-01-03 01:00:00,200227.70946
18,2020-01-04 01:00:00,249411.43334
19,2020-01-05 01:00:00,245602.71838
20,2020-01-06 01:00:00,265096.02514
21,2020-01-07 01:00:00,291598.78168
22,2020-01-08 01:00:00,386270.71838
23,2020-01-09 01:00:00,429981.11489
24,2020-01-10 01:00:00,320749.47126
25,2020-01-11 01:00:00,309047.03776
26,2020-01-12 01:00:00,324675.85005
27,2020-01-13 01:00:00,320822.94323
28,2020-01-14 01:00:00,293058.3059
29,2020-01-15 01:00:00,341523.78294
30,2020-01-16 01:00:00,371193.77927
31,2020-01-17 01:00:00,432788.67407
32,2020-01-18 01:00:00,428558.67529
33,2020-01-19 01:00:00,373626.81256
34,2020-01-20 01:00:00,362326.42754
35,2020-01-21 01:00:00,367850.73
36,2020-01-22 01:00:00,391363.07488
37,2020-01-23 01:00:00,413064.69456
38,2020-01-24 01:00:00,423578.47845
39,2020-01-25 01:00:00,444318.08811
40,2020-01-26 01:00:00,421829.14268
41,2020-01-27 01:00:00,423332.02355
42,2020-01-28 01:00:00,432113.36943
43,2020-01-29 01:00:00,445033.67232
44,2020-01-30 01:00:00,453037.94777
45,2020-01-31 01:00:00,440967.93913
46,2020-02-01 01:00:00,462003.27449
47,2020-02-02 01:00:00,538337.70853
48,2020-02-03 01:00:00,583055.55209
49,2020-02-04 01:00:00,505342.42729
50,2020-02-05 01:00:00,458829.4985
51,2020-02-06 01:00:00,492123.71326
52,2020-02-07 01:00:00,480055.04431
53,2020-02-08 01:00:00,602355.73709
54,2020-02-09 01:00:00,633157.74946
55,2020-02-10 01:00:00,612517.69251
56,2020-02-11 01:00:00,594265.59656
57,2020-02-12 01:00:00,647375.77633
58,2020-02-13 01:00:00,759631.22043
59,2020-02-14 01:00:00,771415.50985
60,2020-02-15 01:00:00,1230862.4882
61,2020-02-16 01:00:00,1221676.50099
62,2020-02-17 01:00:00,1136405.89796
63,2020-02-18 01:00:00,1151331.23304
64,2020-02-19 01:00:00,1198588.90426
65,2020-02-20 01:00:00,1320165.65001
66,2020-02-21 01:00:00,1212022.84211
67,2020-02-22 01:00:00,1306812.35735
68,2020-02-23 01:00:00,1367927.63072
69,2020-02-24 01:00:00,1271274.35407
70,2020-02-25 01:00:00,1353707.13302
71,2020-02-26 01:00:00,1281170.00691
72,2020-02-27 01:00:00,1150573.54027
73,2020-02-28 01:00:00,1124662.94405
74,2020-02-29 01:00:00,1251571.3507
75,2020-03-01 01:00:00,1278835.73223
76,2020-03-02 01:00:00,1165548.30234
77,2020-03-03 01:00:00,1207789.92395
78,2020-03-04 01:00:00,1225365.8052
79,2020-03-05 01:00:00,1155468.47089
80,2020-03-06 01:00:00,1199401.88099
81,2020-03-07 01:00:00,1052870.74203
82,2020-03-08 01:00:00,1132720.7965
83,2020-03-09 01:00:00,1097614.55437
84,2020-03-10 01:00:00,992213.30648
85,2020-03-11 01:00:00,1020452.52623
86,2020-03-12 01:00:00,980457.17561
87,2020-03-13 01:00:00,645007.3842
88,2020-03-14 01:00:00,617492.79726
89,2020-03-15 01:00:00,604472.43737
90,2020-03-16 01:00:00,578062.88949
91,2020-03-17 01:00:00,493678.42826
92,2020-03-18 01:00:00,524705.72095
93,2020-03-19 01:00:00,497360.74664
94,2020-03-20 01:00:00,560558.75686
95,2020-03-21 01:00:00,650738.32863
96,2020-03-22 01:00:00,588982.54435
97,2020-03-23 01:00:00,570836.83807
98,2020-03-24 01:00:00,570261.12021
99,2020-03-25 01:00:00,647075.9069
100,2020-03-26 01:00:00,630886.33407
101,2020-03-27 01:00:00,638635.49742
102,2020-03-28 01:00:00,695244.40412
103,2020-03-29 01:00:00,672767.63992
104,2020-03-30 02:00:00,663800.1913
105,2020-03-31 02:00:00,683257.69484
