,date,totalLiquidityUSD
0,2018-11-03 01:00:00,34643.89061
1,2018-11-04 01:00:00,41268.18311
2,2018-11-05 01:00:00,40551.78262
3,2018-11-06 01:00:00,43091.34015
4,2018-11-07 01:00:00,153979.38867
5,2018-11-08 01:00:00,180229.00276
6,2018-11-09 01:00:00,175773.26173
7,2018-11-10 01:00:00,172207.67578
8,2018-11-11 01:00:00,187642.43953
9,2018-11-12 01:00:00,200955.11257
10,2018-11-13 01:00:00,202382.24125
11,2018-11-14 01:00:00,198327.66498
12,2018-11-15 01:00:00,197528.48025
13,2018-11-16 01:00:00,199426.87552
14,2018-11-17 01:00:00,203103.29289
15,2018-11-18 01:00:00,199238.85914
16,2018-11-19 01:00:00,201157.68698
17,2018-11-20 01:00:00,199443.5133
18,2018-11-21 01:00:00,170785.75468
19,2018-11-22 01:00:00,183171.94532
20,2018-11-23 01:00:00,185282.25164
21,2018-11-24 01:00:00,172257.78447
22,2018-11-25 01:00:00,157032.18379
23,2018-11-26 01:00:00,158223.94771
24,2018-11-27 01:00:00,170242.67181
25,2018-11-28 01:00:00,171563.19808
26,2018-11-29 01:00:00,201279.87539
27,2018-11-30 01:00:00,199867.13865
28,2018-12-01 01:00:00,191856.71436
29,2018-12-02 01:00:00,204620.22306
30,2018-12-03 01:00:00,205452.28193
31,2018-12-04 01:00:00,208464.69508
32,2018-12-05 01:00:00,219103.54285
33,2018-12-06 01:00:00,202134.69838
34,2018-12-07 01:00:00,190261.21914
35,2018-12-08 01:00:00,196617.20952
36,2018-12-09 01:00:00,261635.87286
37,2018-12-10 01:00:00,292798.51008
38,2018-12-11 01:00:00,293596.25263
39,2018-12-12 01:00:00,286362.79966
40,2018-12-13 01:00:00,298579.59023
41,2018-12-14 01:00:00,298614.66107
42,2018-12-15 01:00:00,281187.89088
43,2018-12-16 01:00:00,275065.59442
44,2018-12-17 01:00:00,301263.68486
45,2018-12-18 01:00:00,347516.09945
46,2018-12-19 01:00:00,379231.40521
47,2018-12-20 01:00:00,372764.82581
48,2018-12-21 01:00:00,416410.39203
49,2018-12-22 01:00:00,404467.81754
50,2018-12-23 01:00:00,432928.45316
51,2018-12-24 01:00:00,471326.32045
52,2018-12-25 01:00:00,499865.79863
53,2018-12-26 01:00:00,467714.46378
54,2018-12-27 01:00:00,465327.6486
55,2018-12-28 01:00:00,424008.45215
56,2018-12-29 01:00:00,454045.11403
57,2018-12-30 01:00:00,493602.34872
58,2018-12-31 01:00:00,489799.16762
59,2019-01-01 01:00:00,469319.88661
60,2019-01-02 01:00:00,482603.84438
61,2019-01-03 01:00:00,525659.71053
62,2019-01-04 01:00:00,523944.54836
63,2019-01-05 01:00:00,544651.68856
64,2019-01-06 01:00:00,593290.35084
65,2019-01-07 01:00:00,607550.50916
66,2019-01-08 01:00:00,597913.25285
67,2019-01-09 01:00:00,600249.35596
68,2019-01-10 01:00:00,634889.89384
69,2019-01-11 01:00:00,584721.8774
70,2019-01-12 01:00:00,565145.57961
71,2019-01-13 01:00:00,552046.78597
72,2019-01-14 01:00:00,576482.10994
73,2019-01-15 01:00:00,655241.92094
74,2019-01-16 01:00:00,589949.00011
75,2019-01-17 01:00:00,658276.82668
76,2019-01-18 01:00:00,651820.66579
77,2019-01-19 01:00:00,643210.60591
78,2019-01-20 01:00:00,714263.15797
79,2019-01-21 01:00:00,617580.60778
80,2019-01-22 01:00:00,710308.3573
81,2019-01-23 01:00:00,701066.06142
82,2019-01-24 01:00:00,684250.25437
83,2019-01-25 01:00:00,721282.27932
84,2019-01-26 01:00:00,724334.53076
85,2019-01-27 01:00:00,733033.47233
86,2019-01-28 01:00:00,724785.93466
87,2019-01-29 01:00:00,739577.42487
88,2019-01-30 01:00:00,647151.31645
89,2019-01-31 01:00:00,687412.97462
90,2019-02-01 01:00:00,704824.68958
91,2019-02-02 01:00:00,719082.69995
92,2019-02-03 01:00:00,748194.25575
93,2019-02-04 01:00:00,754717.32122
94,2019-02-05 01:00:00,763578.69839
95,2019-02-06 01:00:00,790126.88166
96,2019-02-07 01:00:00,848823.63829
97,2019-02-08 01:00:00,992467.63586
98,2019-02-09 01:00:00,1200751.98186
99,2019-02-10 01:00:00,1297117.92464
100,2019-02-11 01:00:00,1390796.40082
101,2019-02-12 01:00:00,1878036.31385
102,2019-02-13 01:00:00,1961233.2038
103,2019-02-14 01:00:00,2252403.82772
104,2019-02-15 01:00:00,2305721.80795
105,2019-02-16 01:00:00,2614739.99599
106,2019-02-17 01:00:00,2740631.27465
107,2019-02-18 01:00:00,2852159.68233
108,2019-02-19 01:00:00,2893561.88655
109,2019-02-20 01:00:00,3969541.07198
110,2019-02-21 01:00:00,2915916.34237
111,2019-02-22 01:00:00,4983830.52956
112,2019-02-23 01:00:00,5457302.08441
113,2019-02-24 01:00:00,5591562.41067
114,2019-02-25 01:00:00,5568152.77813
115,2019-02-26 01:00:00,4265083.92436
116,2019-02-27 01:00:00,4425735.90699
117,2019-02-28 01:00:00,4722700.16245
118,2019-03-01 01:00:00,4460920.88119
119,2019-03-02 01:00:00,4982747.91086
120,2019-03-03 01:00:00,4948067.0881
121,2019-03-04 01:00:00,5348726.45178
122,2019-03-05 01:00:00,5166771.78452
123,2019-03-06 01:00:00,6020854.31195
124,2019-03-07 01:00:00,6138189.23194
125,2019-03-08 01:00:00,6619422.06615
126,2019-03-09 01:00:00,6467825.02991
127,2019-03-10 01:00:00,6405853.89852
128,2019-03-11 01:00:00,6461742.73374
129,2019-03-12 01:00:00,6372612.16249
130,2019-03-13 01:00:00,6504608.87433
131,2019-03-14 01:00:00,6422105.24283
132,2019-03-15 01:00:00,6636496.92094
133,2019-03-16 01:00:00,6822723.76976
134,2019-03-17 01:00:00,7188100.32355
135,2019-03-18 01:00:00,7171718.78067
136,2019-03-19 01:00:00,7104751.37986
137,2019-03-20 01:00:00,7159721.75911
138,2019-03-21 01:00:00,7272522.99473
139,2019-03-22 01:00:00,7188706.31201
140,2019-03-23 01:00:00,7339480.64047
141,2019-03-24 01:00:00,7736449.73138
142,2019-03-25 01:00:00,7170937.25872
143,2019-03-26 01:00:00,6987343.82086
144,2019-03-27 01:00:00,7095366.08023
145,2019-03-28 01:00:00,7333792.20613
146,2019-03-29 01:00:00,7413447.657
147,2019-03-30 01:00:00,7657638.04486
148,2019-03-31 01:00:00,7697191.13398
149,2019-04-01 02:00:00,7708388.82573
150,2019-04-02 02:00:00,7655509.63647
151,2019-04-03 02:00:00,8751605.62311
152,2019-04-04 02:00:00,9493932.74491
153,2019-04-05 02:00:00,9437568.07528
154,2019-04-06 02:00:00,9940245.30121
155,2019-04-07 02:00:00,9830334.62092
156,2019-04-08 02:00:00,9772686.57131
157,2019-04-09 02:00:00,9872432.62278
158,2019-04-10 02:00:00,9870893.92349
159,2019-04-11 02:00:00,9765411.58318
160,2019-04-12 02:00:00,9267336.54225
161,2019-04-13 02:00:00,9440284.16764
162,2019-04-14 02:00:00,9333327.16341
163,2019-04-15 02:00:00,9728153.69642
164,2019-04-16 02:00:00,9627804.74375
165,2019-04-17 02:00:00,9521643.63906
166,2019-04-18 02:00:00,9692773.21894
167,2019-04-19 02:00:00,10083832.75278
168,2019-04-20 02:00:00,9948724.70049
169,2019-04-21 02:00:00,9865405.82732
170,2019-04-22 02:00:00,9606521.33975
171,2019-04-23 02:00:00,9736808.50426
172,2019-04-24 02:00:00,9639807.77856
173,2019-04-25 02:00:00,9599564.17768
174,2019-04-26 02:00:00,9331160.98821
175,2019-04-27 02:00:00,9160503.02476
176,2019-04-28 02:00:00,9721584.89816
177,2019-04-29 02:00:00,9740022.76709
178,2019-04-30 02:00:00,9877389.8793
179,2019-05-01 02:00:00,10291797.73713
180,2019-05-02 02:00:00,10123874.11214
181,2019-05-03 02:00:00,10335331.58134
182,2019-05-04 02:00:00,10694512.93441
183,2019-05-05 02:00:00,10586633.60783
184,2019-05-06 02:00:00,10482674.96705
185,2019-05-07 02:00:00,10865412.07384
186,2019-05-08 02:00:00,10274685.26979
187,2019-05-09 02:00:00,10157382.19698
188,2019-05-10 02:00:00,10356368.55907
189,2019-05-11 02:00:00,10698722.43088
190,2019-05-12 02:00:00,11869684.63919
191,2019-05-13 02:00:00,11476853.62182
192,2019-05-14 02:00:00,11930116.90629
193,2019-05-15 02:00:00,12935358.70522
194,2019-05-16 02:00:00,13930570.0984
195,2019-05-17 02:00:00,14196887.01483
196,2019-05-18 02:00:00,14466027.45277
197,2019-05-19 02:00:00,13701118.47279
198,2019-05-20 02:00:00,14249588.48332
199,2019-05-21 02:00:00,15389420.14555
200,2019-05-22 02:00:00,15564256.66038
201,2019-05-23 02:00:00,15734783.3606
202,2019-05-24 02:00:00,16267736.49237
203,2019-05-25 02:00:00,16419363.99556
204,2019-05-26 02:00:00,16700761.84562
205,2019-05-27 02:00:00,17625782.92506
206,2019-05-28 02:00:00,17194013.44079
