,date,totalLiquidityUSD
0,2022-06-02 02:00:00,28482726.88563
1,2022-06-03 02:00:00,30459541.99734
2,2022-06-04 02:00:00,39194135.18038
3,2022-06-05 02:00:00,39295424.83857
4,2022-06-06 02:00:00,42037041.17403
5,2022-06-07 02:00:00,48716309.76363
6,2022-06-08 02:00:00,44992244.22231
7,2022-06-09 02:00:00,36167041.97133
8,2022-06-10 02:00:00,26221917.69488
9,2022-06-11 02:00:00,25913870.78465
10,2022-06-12 02:00:00,25011646.70753
11,2022-06-13 02:00:00,22190015.6905
12,2022-06-14 02:00:00,13390006.89574
13,2022-06-15 02:00:00,12719131.60506
14,2022-06-16 02:00:00,12579359.44001
15,2022-06-17 02:00:00,12016178.49819
16,2022-06-18 02:00:00,12089028.57868
17,2022-06-19 02:00:00,11506481.18399
18,2022-06-20 02:00:00,11531502.50524
19,2022-06-21 02:00:00,11426881.5548
20,2022-06-22 02:00:00,11787180.44858
21,2022-06-23 02:00:00,12247556.41597
22,2022-06-24 02:00:00,12736742.41882
23,2022-06-25 02:00:00,14019266.94074
24,2022-06-26 02:00:00,14297705.49382
25,2022-06-27 02:00:00,14352277.34409
26,2022-06-28 02:00:00,14344173.25076
27,2022-06-29 02:00:00,14377403.182
28,2022-06-30 02:00:00,14494290.59657
29,2022-07-01 02:00:00,14902968.01321
30,2022-07-02 02:00:00,15014121.19654
31,2022-07-03 02:00:00,12943543.99839
32,2022-07-04 02:00:00,13360630.91592
33,2022-07-05 02:00:00,14250862.34703
34,2022-07-06 02:00:00,14057470.27223
35,2022-07-07 02:00:00,14256821.89959
36,2022-07-08 02:00:00,15401439.49088
37,2022-07-09 02:00:00,18362350.41561
38,2022-07-10 02:00:00,19989585.56452
39,2022-07-11 02:00:00,22978227.30053
40,2022-07-12 02:00:00,24457694.25309
41,2022-07-13 02:00:00,24586302.57625
42,2022-07-14 02:00:00,26322834.76077
43,2022-07-15 02:00:00,31997014.80789
44,2022-07-16 02:00:00,37078246.13328
45,2022-07-17 02:00:00,49721812.11046
46,2022-07-18 02:00:00,52827317.37209
47,2022-07-19 02:00:00,61957373.25407
48,2022-07-20 02:00:00,65854549.11359
49,2022-07-21 02:00:00,71816949.65981
50,2022-07-22 02:00:00,74578747.49168
51,2022-07-23 02:00:00,77947603.43175
52,2022-07-24 02:00:00,80220038.54691
53,2022-07-25 02:00:00,83176502.25751
54,2022-07-26 02:00:00,85557108.03252
55,2022-07-27 02:00:00,88786181.65883
56,2022-07-28 02:00:00,103499371.59364
57,2022-07-29 02:00:00,112450356.06173
58,2022-07-30 02:00:00,126083683.46813
59,2022-07-31 02:00:00,136628242.81807
60,2022-08-01 02:00:00,136857947.0601
61,2022-08-02 02:00:00,135910684.33908
62,2022-08-03 02:00:00,130889771.19196
63,2022-08-04 02:00:00,135832959.36005
64,2022-08-05 02:00:00,123902830.16339
65,2022-08-06 02:00:00,131699476.7249
66,2022-08-07 02:00:00,129047201.10391
67,2022-08-08 02:00:00,126550321.82821
68,2022-08-09 02:00:00,128820895.56388
69,2022-08-10 02:00:00,121680122.68951
70,2022-08-11 02:00:00,121376740.42353
71,2022-08-12 02:00:00,109448085.5044
72,2022-08-13 02:00:00,103082391.01001
73,2022-08-14 02:00:00,95769054.45517
74,2022-08-15 02:00:00,90913942.62578
75,2022-08-16 02:00:00,84057832.31959
76,2022-08-17 02:00:00,82371936.59393
77,2022-08-18 02:00:00,78307464.85969
78,2022-08-19 02:00:00,80817357.88606
79,2022-08-20 02:00:00,78681531.27408
80,2022-08-21 02:00:00,73295882.33046
81,2022-08-22 02:00:00,73781169.22714
82,2022-08-23 02:00:00,74176677.03117
83,2022-08-24 02:00:00,75185774.09809
84,2022-08-25 02:00:00,76466228.26677
85,2022-08-26 02:00:00,74436486.17742
86,2022-08-27 02:00:00,71492535.02568
87,2022-08-28 02:00:00,71383255.50133
88,2022-08-29 02:00:00,70601304.48716
89,2022-08-30 02:00:00,70994996.83717
90,2022-08-31 02:00:00,69247016.21523
91,2022-09-01 02:00:00,69262753.89155
92,2022-09-02 02:00:00,69740094.89671
93,2022-09-03 02:00:00,68810590.78608
94,2022-09-04 02:00:00,68719038.27169
95,2022-09-05 02:00:00,68387944.84535
96,2022-09-06 02:00:00,66124379.13557
97,2022-09-07 02:00:00,64159729.76089
98,2022-09-08 02:00:00,66013110.16468
99,2022-09-09 02:00:00,63917030.47131
100,2022-09-10 02:00:00,64459638.78172
101,2022-09-11 02:00:00,64626048.36414
102,2022-09-12 02:00:00,63991254.75788
103,2022-09-13 02:00:00,63058777.77608
104,2022-09-14 02:00:00,58958167.08727
105,2022-09-15 02:00:00,56159535.45164
106,2022-09-16 02:00:00,55072987.07898
107,2022-09-17 02:00:00,56259224.70699
108,2022-09-18 02:00:00,58890652.33724
109,2022-09-19 02:00:00,56771745.67469
110,2022-09-20 02:00:00,56746822.30269
111,2022-09-21 02:00:00,56480609.37195
112,2022-09-22 02:00:00,55286144.77207
113,2022-09-23 02:00:00,55826841.4949
114,2022-09-24 02:00:00,56034525.4832
115,2022-09-25 02:00:00,55742733.43182
116,2022-09-26 02:00:00,55630673.94438
117,2022-09-27 02:00:00,56743345.22545
118,2022-09-28 02:00:00,56261194.32975
119,2022-09-29 02:00:00,56420148.6062
120,2022-09-30 02:00:00,56259603.43101
