,date,totalLiquidityUSD
228,2022-10-04 02:00:00,8948.89806
229,2022-10-05 02:00:00,9238.90973
230,2022-10-06 02:00:00,10970.68969
231,2022-10-07 02:00:00,39810.03966
232,2022-10-08 02:00:00,38858.87624
233,2022-10-09 02:00:00,42264.90656
234,2022-10-10 02:00:00,63574.8137
235,2022-10-11 02:00:00,80759.70853
236,2022-10-12 02:00:00,88883.08611
237,2022-10-13 02:00:00,161523.21515
238,2022-10-14 02:00:00,173420.76553
239,2022-10-15 02:00:00,139874.39638
240,2022-10-16 02:00:00,166131.46103
241,2022-10-17 02:00:00,284744.56816
242,2022-10-18 02:00:00,345597.59813
243,2022-10-19 02:00:00,335913.32006
244,2022-10-20 02:00:00,378925.65966
245,2022-10-21 02:00:00,590183.5619
246,2022-10-22 02:00:00,762612.57369
247,2022-10-23 02:00:00,1053998.49083
248,2022-10-24 02:00:00,1057485.35043
249,2022-10-25 02:00:00,1047690.29036
250,2022-10-26 02:00:00,1339667.48051
251,2022-10-27 02:00:00,1401697.7975
252,2022-10-28 02:00:00,1375168.69759
253,2022-10-29 02:00:00,1496699.4683
254,2022-10-30 02:00:00,1543853.58265
255,2022-10-31 01:00:00,1715118.86628
256,2022-11-01 01:00:00,1858966.74916
257,2022-11-02 01:00:00,2020269.23219
258,2022-11-03 01:00:00,1943556.83911
259,2022-11-04 01:00:00,2071473.6917
260,2022-11-05 01:00:00,2246420.14217
261,2022-11-06 01:00:00,2254648.05038
262,2022-11-07 01:00:00,2083000.86285
263,2022-11-08 01:00:00,2159653.9641
264,2022-11-09 01:00:00,1936361.40258
265,2022-11-10 01:00:00,1666552.5054
266,2022-11-11 01:00:00,1989979.58552
267,2022-11-12 01:00:00,2160038.31179
268,2022-11-13 01:00:00,2340352.31037
269,2022-11-14 01:00:00,2106674.26721
270,2022-11-15 01:00:00,2217226.78275
271,2022-11-16 01:00:00,2074488.70637
272,2022-11-17 01:00:00,1916220.03888
273,2022-11-18 01:00:00,1913033.47769
274,2022-11-19 01:00:00,1992979.2755
275,2022-11-20 01:00:00,1949413.93809
276,2022-11-21 01:00:00,1751230.10558
